
Copyright 2016 Prifysgol Bangor University

   Licensed under the Apache License, Version 2.0 (the "License");
   you may not use this file except in compliance with the License.
   You may obtain a copy of the License at

       http://www.apache.org/licenses/LICENSE-2.0

   Unless required by applicable law or agreed to in writing, software
   distributed under the License is distributed on an "AS IS" BASIS,
   WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
   See the License for the specific language governing permissions and
   limitations under the License.

'C' / 'S' scroll	sgrôl 'C' / 'S'
2-hydroxyphenylmethanol	2-hydrocsiffenylmethanol
2-hydroxypropane-1,2,3-tricarboxylic acid	asid 2-hydrocsipropan-1,2,3-tricarbocsylig
2-hydroxypropanenitrile	2-hydrocsipropannitril
2-hydroxypropanoic acid	asid 2-hydrocsipropanöig
2-methoxy-2-methylpropane	2-methocsi-2-methylpropan
2-methyl-1,3,5-trinitrobenzene	2-methyl-1,3,5-trinitrobensen
2-methylbenzenecarboxylic acid	asid 2-methylbensencarbocsylig
2-methylbenzenesulfonic acid	asid 2-methylbensensylffonig
2-methylbuta-1,3-diene	2-methylbwta-1,3-deuen
2-methylbutenedioic acid	asid 2-methylbwtendeuöig
2-methylphenol	2-methylffenol
2-methylphenylamine	2-methylffenylamin
2-methylpropan-1-ol	2-methylpropan-1-ol
2-methylpropan-2-ol	2-methylpropan-2-ol
2-methylpropan-2-yl	2-methylpropan-2-yl
2-methylpropane	2-methylpropan
2-methylpropanoic acid	asid 2-methylpropanöig
2-methylpropene	2-methylpropen
2-methylpropenoic acid	asid 2-methylpropenöig
2-methylpropyl	2-methylpropyl
2-nitrophenol	2-nitroffenol
2-oxopropanoic acid	asid 2-ocsopropanöig
3 plywood	pren tair haen
3,3-dimethylbiphenyl-4,4’-diamine	3,3-deumethylbiffenyl-4,4’-deuamin
3,3-dimethylbutanone	3,3-deumethylbwtanon
3,4,5-trihydroxybenzenecarboxylic acid	asid 3,4,5-trihydrocsibensencarbocsylig
3-chloroprop-1-ene	3-cloroprop-1-en
3-hydroxybut-2-enoic acid	asid 3-hydrocsibwt-2-enöig
3-hydroxybutanal	3-hydrocsibwtanal
3-methylbutyl-	3-methylbwtyl-
3-oxobutanoic acid	asid 3-ocsobwtanöig
3-phenylpropenoic acid	asid 3-ffenylpropenöig
4-aminobenzenecarboxylic acid	asid 4-aminobensencarbocsylig
4-aminobenzenesulfonamide	4-aminobensensylffonamid
4-aminobenzenesulfonic acid	asid 4-aminobensensylffonig
4-aminophenylammonium chloride	4-aminoffenylamoniwm clorid
4-dichlorobenzene	4-deuclorobensen
4-hydroxy-4-methylpentan-2-one	4-hydrocsi-4-methylpentan-2-on
4-methylpent-3-en-2-one	4-methylpent-3-en-2-on
4-nitrophenylamine	4-nitroffenylamin
<i>N</i>,<i>N</i>'-diphenylhydrazine	<i>N</i>,<i>N</i>'-deuffenylhydrasin
<i>N</i>,<i>N</i>-dimethylphenylamine	<i>N</i>,<i>N</i>-deumethylffenylamin
<i>N</i>-bromobutanedioic imide	<i>N</i>-bromobwtandeuöig imid
<i>N</i>-bromoethanamide	<i>N</i>-bromoethanamid
<i>N</i>-methylphenylamine	<i>N</i>-methylffenylamin
<i>N</i>-phenylethanamide	<i>N</i>-ffenylethanamid
<i>cis</i>-butenedioic acid	asid <i>cis</i>-bwtendeuöig
<i>cis</i>-butenedioic anhydride	<i>cis</i>-bwtendeuöig anhydrid
<i>trans</i>-but-2-enal	<i>trans</i>-bwt-2-enal
<i>trans</i>-but-2-enoic acid	asid <i>trans</i>-bwt-2-enöig
<i>trans</i>-butenedioic acid	asid <i>trans</i>-bwtendeuöig
A level	Safon Uwch
A level	lefel A
A line skirt	sgert linell A
A major	A fwyaf
A minor	A leiaf
AB design	cynllun AB
AB produced	AB wedi ei estyn
AB styrene	styren AB
ABA or ABAB	ABA neu ABAB
ABC approach to behaviour	dull RhYC o newid ymddygiad
ABC of resuscitation	ABC dadebriad
ACCAC: Qualifications, Curriculum and Assessment Authority for Wales	ACCAC: Awdurdod Cymwysterau, Cwricwlwm ac Asesu Cymru
AD	OC
AF	AFF
AIDS	AIDS
ALGOL	ALGOL
AND	AC
AND circuit	cylched AC
AND circuit	cylched AC
AND element	elfen AC
AND element	elfen AC
AND gate	adwy AC
AND gate	adwy AC
AND operation	gweithrediad AC
AND operation	gweithrediad AC
APA format	fformat APA
AS level	Safon Uwch Atodol
ASCII	ASCII
ASCII	American Standard Code for Information Interchange
ASCII code	cod ASCII
ASCII code	cod ASCII
AVERAGE function	ffwythiant AVERAGE
Aaronic Blessing	Bendith Aaron
Abelian group	grŵp Abel
Abendlied	Abendlied
Abjuration Oath	Llw Ymwadiad
Abolition of Slavery Act	Deddf Dileu Caethwasiaeth
Abra file	ffeil Abra
Abra frame	ffrâm Abra
Access database	cronfa ddata Access
Access to Justice Act	Deddf Mynediad i Gyfiawnder
Accredited Training Organization	Cyfundrefn Hyfforddi Gydnabyddedig
Accumulated Information Field	Maes Gwybodaeth Gronedig
Acquired Immune Deficiency Syndrome	Syndrom Diffyg Imiwnedd Caffaeledig
Acrilan	Acrilan
Act Against Pluralities	Deddf yn Erbyn Amlblwyfiaeth
Act for the Propagation of the Gospel	Deddf Taenu'r Efengyl
Act in Absolute Restraint of Annates	Deddf i Lwyr Atal Anodau
Act in Conditional Restraint of Annates	Deddf Amodol Atal Anodau
Act of Annates	Deddf Anodau
Act of Appeals	Deddf Apeliadau
Act of Attainder	Deddf Adendro
Act of Dispensations	Deddf Trwyddedau
Act of God	Gweithred Ddwyfol
Act of God	Gweithred gan Dduw
Act of Parliament	deddf Seneddol
Act of Revocation	Deddf Dirymiad
Act of Settlement	Deddf Ardrefnu
Act of Six Articles	Deddf y Chwe Erthygl
Act of Submission of the Clergy	Deddf Ymostyngiad y Clerigwyr
Act of Supremacy	Deddf Goruchafiaeth
Act of Treasons	Deddf Brad
Act of Uniformity	Deddf Unffurfiaeth
Act of Union	Deddf Uno
Adam	Adda
Adam of Usk	Adda o Frynbuga
Addled Parliament	Senedd Glwc
Adi Granth	Adi Granth
Admiralty	Morlys
Admiralty brass	pres Morlys
Admiralty gunmetal	gwnfetel Morlys
Admiralty gunmetal	gwnfetel y Morlys
Admonition to the Parliament	Cerydd i'r Senedd
Adoption Act	Deddf Mabwysiadu
Adullamites	Adulamiaid
Advent	Adfent
Adventism	Adfentyddiaeth
Adventist	Adfentydd
Advertising Standards Authority	Awdurdod Safonau Hysbysebu
Advisory Committee for Wales	Pwyllgor Ymgynghorol Cymru
Advisory, Conciliation and Arbitration Service	Gwasanaeth Cymodi ACAS
Aegean	Aegeaidd
Aegean pottery	crochenwaith Aegeaidd
Aeolian mode	modd Aeolaidd
African drumming music	cerddoriaeth ddrymio Affricanaidd
African empire	ymerodraeth Affrica
Afro-Caribbean hair	gwallt Affro-Caribeaidd
Afro-Carribbean	Affro-Caribeaidd
Age Concern	Cyngor yr Henoed
Age of Austerity	Oes y Llymder
Age of Enlightenment	Oes y Goleuo
Age of Faith	Oes Ffydd
Age of Improvement	Oes Cynnydd
Age of Reason	Oes Rheswm
Age of the Saints	Oes y Saint
Agreement of the People	Cydsyniad y Bobl
Agricultural Adjustments Act	Deddf Cymhwyso Amaethyddiaeth
Agricultural Revolution	Chwyldro Amaethyddol
Air Marshal	Marsial yr Awyrlu
Albanians	Albaniaid
Alberti bass	bas Alberti
Albigensian	Albigensaidd
Albigensian	Albigensiad
Albigensian Crusade	Croesgad yn erbyn yr Albigensiaid
Albumblatt	Albumblatt
Alcoholics Anonymous [AA]	Alcoholigion Anhysbys
Aldine Press	Gwasg Aldus Manutius
Alexander the Great	Alecsander Fawr
Alexandrine	Alecsandraidd
Alfred the Great	Alffred Fawr
Aliens Act	Deddf Estroniaid
All Wales Strategy	Strategaeth Cymru Gyfan
Allah	Allah
Allen key	allwedd Allen
Allen screw	sgriw Allen
Allen screw	sgriw Allen
Alliance Control Commission	Comisiwn Rheoli'r Gynghrair
Alliance for Progress	Cynghrair er Cynnydd
Allies	y Cynghreiriaid
Alma Mater	eich hen goleg
Alp	alp
Alps	Alpau
Alps	yr Alpau
Alzheimer's disease	clefyd Alzheimer
Ambrose	Emrys
Ambrosian chant	siant Ambrosaidd
Amen cadence	diweddeb eglwysig
American	Americaniad
American Revolution	Chwyldro Americanaidd
American Standard Code for Information Interchange	ASCII
American Standard Code for Information Interchange	American Standard Code for Information Interchange
American cloth	lliain Americanaidd
American organ	organ Americanaidd
American sign language	iaith arwyddion America
Amnesty International	Amnest Rhyngwladol
Amrit-dhari	Amrit-dhari
Amrit-sanskar	Amrit-sanskar
Anabaptist	Ailfedyddiwr
Anarchist Party	Plaid Anarchaidd
Ancient Britons	Hen Frythoniaid
Ancient Egypt	Hen Aifft
Ancient Greece	Hen Roeg
Ancient of Days	Hen Ddihenydd
Angevin	Angefin
Anglican	Anglican
Anglican	Anglicanaidd
Anglican chant	siant Anglicanaidd
Anglicanism	Anglicaniaeth
Anglicization	Seisnigiad
Anglicization	Seisnigo
Anglicized	Seisnigaidd
Anglo-	Eingl-
Anglo-Irish Treaty	Cytundeb Eingl-Wyddelig
Anglo-Norman	Eingl-Norman
Anglo-Norman	Eingl-Norman
Anglo-Norman	Eingl-Normanaidd
Anglo-Norman	Eingl-Normanaidd
Anglo-Norman Law	Cyfraith Eingl-Normanaidd
Anglo-Norman law	cyfraith Eingl-Norman
Anglo-Saxon	Eingl-Sacsonaidd
Anglo-Saxon	Eingl-Sacsoneg
Anglo-Saxon	Eingl-Sais
Anglo-Saxon	Eingl-Seisnig
Anglo-Saxon Chronicles	Croniclau'r Eingl-Sacsoniaid
Anglo-Saxon Law	Cyfraith Eingl-Sacsonaidd
Anglo-Saxon law	cyfraith Eingl-Seisnig
Anglo-Welsh	Eingl-Gymreig
Anno Domini	Oed Crist
Anno Domini [A.D.]	Oed Crist [O.C.]
Ansoff Matrix	Matrics Ansoff
Antarctic	Antarctig
Antarctic	Antartig
Anti-Comintern Pact	Pact Gwrth-Gomintern
Anti-Corn Law League	Cynghrair er Diddymu'r Deddfau Ŷd
Anti-Marcionite Prologues	Prologau Gwrth-Farcionaidd
Anti-semitic	gwrth-Semitig
Antichrist	Anghrist
Antichrist	Anghrist
Antiochene	Antiochaidd
Apgar score	sgôr Agpar
Apgar score chart	siart sgôr Apgar
Apostolic Constitutions, the	Gosodiadau Apostolaidd, y
Apostolic Fathers	Tadau Apostolaidd
Apostolic Succession	Olyniaeth Apostolaidd
Appelate Jurisdiction Act	Deddf Awdurdod Apeliadol
Appellant Lords	Arglwyddi Apelyddol
Arab League	Cynghrair Arabaidd
Arabic	Arabaidd
Arabic	Arabeg
Arabic gum	gwm Arabig
Aramaic	Aramaeg
Aramaic	Arameaidd
Aramaism	Aramaegeb
Arch of Covenant, the	Arch y Cyfamod
Archimedean	Archimedeaidd
Archimedean drill	dril Archimedaidd
Archimedean drill	dril Archimedes
Archimedean spiral	sbiral Archimedes
Arctic	Arctig
Arctic Circle	Cylch y Gogledd
Arctic Circle	y Cylch Arctig
Argand diagram	diagram Argand
Argentina	Ariannin
Argentina	yr Ariannin
Argentine	Archentaidd
Argentine	Archentwr
Argentinian	Archentwr
Argentinian	Archentwraig
Arkansas oilstone	carreg hogi Arkansas
Arkansas oilstone	carreg hogi Arkansas
Arminian	Arminaidd
Arminian	Arminiad
Arminianism	Arminiaeth
Army High Command	Pen Reolaeth y Fyddin
Arnulph	Arnwlff
Art Nouveau	Art Nouveau
Arthurian legend	chwedl Arthuraidd
Artisans' Dwelling Act	Deddf Anheddau'r Gweithwyr
Aryan	Ariad
Aryan	Ariaidd
Aryan Race	Hil Ariaidd
Ascension Thursday	Dydd Iau Dyrchafael
Ascetic Theology	Diwinyddiaeth Asgetig
Ash Wednesday	Dydd Mercher Lludw
Ash Wednesday	dydd Mercher y Lludw
Asharite	Asharitiad
Asperger's syndrome	syndrom Asperger
Assisi embroidery	brodwaith Assisi
Atlantes	Atlantes
Atlantic	Môr Iwerydd
Atlantic	yr Iwerydd
Atlantic Charter	Siarter yr Iwerydd
Atlantic Revolution, The	Chwyldro Môr Iwerydd
Atlantic coast	arfordir yr Iwerydd
Atlantic roller	gwaneg Iwerydd
Atlantic roller	gwaneg Iwerydd
Atonement, The	Iawn, Yr
Attainment Target [AT]	Targed Cyrhaeddiad [TC]
Attorney-General	Twrnai Cyffredinol
Attorney-General	Twrnai Gwladol
Audience Court	Cwrt Gwrandawiad
Augmentations Court	Cwrt yr Ychwanegiadau
August	Awst
Augustinian	Awstinaidd
Augustinian	Awstiniad
Augustinian Canons	Canoniaid Awstinaidd
Augustinian Friars	Brodyr Sant Awstin
Augustinian Order	Urdd Awstinaidd
Augustinian Order	Urdd Sant Awstin
Augustinian theodicy	theodiciaeth Awstin
Augustinianism	Awstiniaeth
Auld Alliance	Hen Gynghrair
Aurora Australis	Goleuni'r De
Aurora Borealis	Goleuni'r Gogledd
Australia	Awstralia
Australian	Awstraliad
Austria	Awstria
Austro-Piedmontese war	rhyfel Awstria a Piedmont
Austro-Prussian war	rhyfel Awstria a Phrwsia
Avery label	label Avery
Avignon Papacy	Pabaeth Avignon
Axis Powers	Pwerau'r Axis
Azores high	gwasgedd uchel Azores
Aztec	Astec
Aztec	Astec
Aztec	Astecaidd
Aztec	Astecaidd
B lymphocyte	lymffocyt B
B major	B fwyaf
B minor	B leiaf
B.S. recommendation	argymhelliad B.S.
BACKSPACE key	bysell BACKSPACE
BASIC	BASIC
BC	CC
BECA Network	Band Eang Cymru Ar-lein
BREAK key	bysell BREAK
Babbith's metal	metel Babbith
Bach flower remedies	meddyginiaethau blodau Bach
Backus-Naur form	ffurf Backus-Naur
Baisakhi / Vaisakhi	Baisakhi / Vaisakhi
Bakelite	Bakelite
Baker's fluid	hylif Baker
Bakewell tart	tarten Bakewell
Balkan countries	gwledydd y Balcan
Balkans	Balcanau, y
Bank Charter Act	Deddf Siarter y Banc
Bank of England	Banc Lloegr
Bank of Scotland	Banc yr Alban
Baptist	Bedyddiwr
Baptist	Bedyddiwr
Barlow's test	prawf Barlow
Barnum effect	effaith Barnum
Barrowist	dilynwr Barrow
Bartholomew	Bartholomeus
Basal Metabolic Rate	Cyfradd Metabolaeth Waelodol
Basque	Basg
Basque	Basgeg
Basque	Basgiad
Batesian mimicry	dynwarediad Batesaidd
Battle of Britain	Brwydr Prydain
Battle of the Somme	Brwydr y Somme
Bauhaus designer	dylunydd Bauhaus
Bavarian	Bafaraidd
Bavarian	Bafariad
Bayeux Tapestry	Tapestri Bayeux
Beaker Folk	Pobl y Biceri
Beaufort Scale	Graddfa Beaufort
Beaufort Scale	Graddfa Beaufort
Bebung	Bebung
Bede, the Venerable	Beda Ddoeth
Bedivere	Bedwyr
Bedouin	Bedowin
Bedouin	Bedowinaidd
Bedouin	Bedwin
Bedouin	Bedwyn
Bedouin	Bedwynaidd
Before Christ	Cyn Crist
Before Christ [B.C.]	Cyn Crist [C.C.]
Before Present	Cyn y Presennol
Beguine	Lleian Le Begue
Behavioural Improvement Programme	Rhaglen Gwella Ymddygiad
Belgian	Belgaidd
Belgian	Belgiad
Belgium	Gwlad Belg
Belgium	Gwlad Belg
Bench, the	Fainc, y
Benedict reagent	adweithydd Benedict
Benedictine	Benedictiad
Benedictine	Benedictiad
Benedictine	San Bened
Benedictine Order	Urdd Fenedictaidd
Berlin Congress	Cyngres Berlin
Berlin airlift	awyrgludiad Berlin
Bessemer	Bessemer
Bessemer converter	trawsnewidydd Bessemer
Bessemer converter	trawsnewidydd Bessemer
Bessemer converter furnace	ffwrnais drawsnewidydd Bessemer
Bezier curve	cromlin Bezier
Bhagavad Gita	Bhagavad Gita
Bible	Beibl
Bible	Beibl
Biblical	Beiblaidd
Biblical	Beiblaidd
Biblical play	drama Feiblaidd
Biblicist	Beiblydd
Bill of Rights	Mesur Iawnderau
Binet-Simon scale	graddfa Binet-Simon
Binomial Theorem	Theorem Binomial
Bishop William Morgan	Esgob William Morgan
Bishop of Bangor's jig	dawns Esgob Bangor
Bishops' Wars, the	Rhyfel yr Esgobion
Bismarckian system	cyfundrefn Fismarcaidd
Black Acts	Deddfau Duon
Black Book of the Household	Llyfr Du Cyfrifon y Llys
Black Code	Cod y Caethion Du
Black Country	Gwlad Ddu
Black Death	Pla Du
Black Friar	Brawd Du
Black Friday	Dydd Gwener Du
Black Hand	Llaw Ddu
Black Power	Pŵer Du
Black Prince	Tywysog Du
Blanketeers	Blancedwyr
Blessed	Gwynfydedig
Blessed Virgin Mary	Morwyn Fair Fendigaid
Blitz, The	Blitz, Y
Blood Bath of Stockholm	Galanas Stockholm
Bloody Assizes	Brawdlys Gwaedlyd
Bloody Mary	Mari Waedlyd
Bloody Sunday	Sul y Gwaed
Boadicea	Buddug
Board School	Ysgol Bwrdd
Board of Admiralty	Bwrdd y Morlys
Board of Education	Bwrdd Addysg
Board of Guardians	Bwrdd Gwarcheidwaid
Board of Health	Bwrdd Iechyd
Board of Health	Bwrdd Iechyd
Board of Trade	Bwrdd Masnach
Bobath technique	techneg Bobath
Bodhisattva	Bodhisattva
Bodleian Library	Llyfrgell Bodley
Boer	Boer
Boer War	Rhyfel y Boer
Bohemian Brethren	Brodyr Bohemia
Bokhara couching	cowtsio Bokhara
Bolshevik	Bolsiefic
Bolshevik	Bolsieficaidd
Bolshevik	Bolsiefig
Bolshevik	Bolsiefigaidd
Bonapartism	Bonapartiaeth
Bond of Association	Cwlwm Cydweithred
Book of Advertisements	Llyfr yr Hysbysebion
Book of Discipline	Llyfr Disgyblaeth
Book of Hours	Llyfr Oriau
Book of Martyrs	Llyfr Merthyron
Book of Orders	Llyfr Gorchmynion
Book of Sports	Llyfr Chwaraeon
Boolean	Boole
Boolean	Boole
Boolean algebra	algebra Boole
Boolean algebra	algebra Boole
Boolean expression	mynegiad Boole
Boolean logic	rhesymeg Boole
Boolean logic	rhesymeg Boole
Boolean operation	gweithrediad Boole
Boolean operation	gweithrediad Boole
Boolean operator	gweithredydd Boole
Boolean operator	gweithredydd Boole
Boolean search	chwiliad Boole
Boolean type	math Boole
Boolean type	math Boole
Boolean value	gwerth Boole
Boolean value	gwerth Boole
Boolean variable	newidyn Boole
Boolean variable	newidyn Boole
Borough Council	Cyngor Bwrdeistref
Bourbon restoration	adferiad y Bourboniaid
Bourbons	Bourboniaid
Bow Street Runner	Ceidwad Bow Street
Bow's notation	nodiant Bow
Bowman's capsule	cwpan Bowman
Boxer Rising	Gwrthryfel y Bocswyr
Boyar	Boiar
Brahman	Brahman
Brahmin	Brahmin
Brave West Winds	Gwyntoedd Grymus y Gorllewin
Brethren of the Common Life	Brodyr y Bywyd Cyffredin
Breton	Llydaweg
Breton	Llydawes
Breton	Llydewig
Breton	Llydäwr
Brigadier	Brigadydd
Bristol Channel	Môr Hafren
Bristol board	bwrdd Bryste
Bristol board	bwrdd Bryste
Britain	Prydain
Britannia metal	metel Britannia
Britannia metal	metel Britannia
British	Prydeinig
British Crime Survey	Arolwg Trosedd Prydain
British Electrical Approvals Board	Bwrdd Cymeradwyo Trydan Prydain
British Savings Bonds	Bondiau Cynilo Prydeinig
British School	Ysgol Brydeinig
British Standard	Safon Brydeinig
British Standard specification	manyleb Safonau Prydeinig
British Standards Institution	Sefydliad Safonau Prydeinig
British film industry	diwydiant ffilm Prydain
British school	ysgol Frutanaidd
British sign language	iaith arwyddion Prydain
Britisher	Prydeiniwr
Briton	Brython
Briton	Brython
Briton	Prydeiniwr
Brittany	Llydaw
Broadband Marketing	Marchnata Band Eang
Broadband Wales	Band Eang Cymru
Broadband Wales Taskforce Representative	Cynrychiolydd Tasglu Band Eang Cymru
Broadband Wales Unit	Uned Band Eang Cymru
Broadband Wales programme	rhaglen Band Eang Cymru
Broadcasting Standards Commission	Comisiwn Safonau Darlledu
Broadmann's area	rhan Broadmann
Broca's area	rhan Broca
Bronze Age	Oes Efydd
Brother Preacher	Brawd-Bregethwr
Brownian movement	symudiad Brown
Brussels sprout	ysgewyllen
Brussels sprouts	ysgewyll
Brythonic	Brythonaidd
Brythonic	Brythoneg
Buddha	Bwdha
Buddhahood	Bwdhadod
Buddhism	Bwdhaeth
Buddhist	Bwdhaidd
Buddhist	Bwdhydd
Bulgarian	Bwlgariad
Bunsen burner	byrner Bunsen
Bunsen burner	llosgydd Bunsen
Burgundian	Bwrgwynaidd
Burgundian	Bwrgwyniad
Business Administration College	Coleg Gweinyddu Busnes
Business Reply Service	Gwasanaeth Ateb Busnes
Byzantine	Bysantaidd
Byzantine	Bysantaidd
Byzantine	Bysantiad
Byzantine chant	siant Fysantaidd
Byzantine music	cerddoriaeth Fysantaidd
Byzantium	Bysantiwm
Byzantium	Caergystennin
C clef	cleff C
C clefs	cleffiau C
C major	C fwyaf
C minor	C leiaf
C.R.C.A. sheet	siten ddur meddal gloyw wedi'i rholio'n oer a'i hanelio'n oer
CAI: computer aided instruction	CAI: hyfforddiant drwy gymorth cyfrifiadur
CANCEL key	bysell CANSLO
CAPS lock	clo CAPS
CATE: Committee for the Accreditation of Teachers Education	Pwyllgor Achredu Addysg Athrawon
CATS: Consortium for Assessment and Testing in Schools	CAPY: Consortiwm Asesu a Phrofi mewn Ysgolion
CATS: Credit Accumulation and Transfer Scheme	Cynllun Casglu a Throsglwyddo Credydau
CD ROM drive	gyriant CD ROM
CD-ROM	CD-ROM
CD-ROM reader	darllenydd CD-ROM
CESIL	CESIL
CFCs	CFCau
CNAA	Cyngor Dyfarniadau Academaidd Cenedlaethol
COBOL	COBOL
CODASYL	CODASYL
CTRL key	bysell CTRL
Cabinet reshuffle	ad-drefniant Cabinet
Caerffili cheese	caws Caerffili
Caesar	Cesar
Caesarean	Cesaraidd
Caesarean birth	genedigaeth Gesaraidd
Caesarean section	toriad Cesaraidd
Caesarian section	toriad Cesaraidd
Caledonian	Caledonaidd
Calvin	Calfin
Calvin cycle	cylchred Calvin
Calvinism	Calfiniaeth
Calvinism	Calfiniaeth
Calvinistic	Calfinaidd
Calvinistic Methodism	Methodistiaeth Galfinaidd
Cambrian	Cambriaidd
Cambrian	Cambriaidd
Cambridge	Caergrawnt
Campylobacter	Campylobacter
Canada	Canada
Canada balsam	balsam Canada
Canadian	Canadaidd
Canadian	Canadiad
Canadian Shield	Tariandir Canada
Candlemas	Gŵyl Fair
Candlemas	Gŵyl Fair y Canhwyllau
Canon Law	Cyfraith Ganonaidd
Canterbury	Caergaint
Cape Horn	Horn, Yr
Cape of Good Hope	Penrhyn Gobaith Da
Cape of Good Hope	Penrhyn Gobaith Da
Capetian	Capetaidd
Capital Transfer Tax	Treth Trosglwyddo Cyfalaf
Capricorn	yr Afr
Capuchin Friar	Brawd Cycyllog
Capuchin Order	Urdd Gapwcaidd
Capuchin Order	Urdd y Brodyr Cycyllog
Caractacus	Caradog
Carbonari	Carbonariaid
Carboniferous Age	Oes Garbonifferaidd
Carboniferous Age	Oes y Glo
Carboniferous limestone	calchfaen Carbonifferaidd
Carborundum stone	carreg silicon carbid
Care Council for Wales	Cyngor Gofal Cymru
Caribbean	Caribïaidd
Carl Rogers humanistic theory of learning	damcaniaeth dysgu dyneiddiol Carl Rogers
Carlsbad decrees	archddyfarniadau Carlsbad
Carmelite	Carmelaidd
Carmelite	Carmeliad
Carmelite Friar	Brawd Carmelaidd
Carmelite Order	Urdd Garmelaidd
Carmelite Order	Urdd y Carmeliaid
Carolingian	Carolingaidd
Carolingian	Carolingaidd
Carolingian	Carolingiad
Carolingian Art	Celfyddyd Garolingaidd
Carolingian art	celfyddyd Garolingaidd
Carragheen moss	mwsogl Carragheen
Cartesian	Cartesaidd
Cartesian	Cartesaidd
Cartesian coordinates	cyfesurynnau Cartesaidd
Cartesian dualism	deuoliaeth Gartesaidd
Cartesian equation	hafaliad Cartesaidd
Carthusian	Carthwsiad
Carthusian Order	Urdd y Carthwsiaid
Cash on Delivery [COD]	Talu wrth Dderbyn
Cash on Delivery [COD]	Tâl wrth Dderbyn
Casket Letters	Llythyrau'r Blwch
Casparian strip	stribed Caspari
Castilian	Castilaidd
Castilian	Castiliad
Catalan	Catalanaidd
Catalan	Catalaneg
Catalan	Catalaniad
Catalonia	Catalonia
Cathar	Cathariad
Cathay Company	Cwmni Cathay
Catherine	Catrin
