english welsh
wire weiro
inboard mewnol
ingenuity medr
omnipotent hollalluog
juniper merywen
aspiration sugniad
keeping gofal
score sgôr
goldfinch nico
gossip clebran
laundry londri
exposure amlygiad
participant cyfrannog
tattler clebryn
fraudulent twyllodrus
duffer hurtyn
shed penty
apologize ymddiheuro
affection anwyldeb
brewery bracty
heart canol
fetid drewllyd
embryology embryoleg
sadist sadydd
quasi megis
writer ysgrifennwr
menace bygwth
irrecoverable anadferadwy
cache stôr
muslin mwslin
issue arwyddo
solar solar
soft dwl
genealogy achau
icing eising
tremble arswydo
library llyfrgell
store helaethrwydd
rickety simsan
documentary dogfennol
somehow rhywsut
cuddle anwesu
engraving ysgythriad
pinking pincio
legislation deddfwriaeth
badger broch
idyll bugeilgerdd
vanquisher trechwr
disendow dadwaddoli
power dawn
soviet sofiet
pixy picsi
abortive aflwyddiannus
communicate mynegi
retributive dialgar
moment ennyd
talkative siaradus
dominate goruchafu
slaver poer
comfortable cyfforddus
fine braf
unawareness anymwybod
flood gorlifo
protect amddiffyn
watchful effro
dedication cysegriad
presumptuousness hyfdra
sullen diserch
illegal anghyfreithlon
reselect ailddewis
protection amddiffyniad
brace tynhau
coat caen
killer lladdwr
scales tafol
philologist ieithegwr
complementary cyflenwol
illumination goleuad
phraseology geiriad
obstinate ystyfnig
brinkmanship dibynfentro
haddock corbenfras
intemperance anghymedroldeb
leakage colled
oppress llethu
teacher athrawes
exquisite odiaeth
bungle stompio
transcriber copïwr
squalid aflan
madrigal madrigal
ostentation rhwysg
competitive cystadleuol
pageantry rhwysg
appeal erfyn
shift syfliad
imperial imperial
redox rhydocs
shrill main
projection tafluniad
cool oerllyd
pall mantell
tame dof
cure iachâd
cod penfras
warp tro
assembly gwasanaeth
match priodas
bully bwli
superstition ofergoel
involvement ymglymiad
antinode antinod
undertaking ymgymeriad
distress blino
harp telyn
foster coleddu
glyph glyff
definiteness pendantrwydd
falsify gwyrdroi
unhappy anhapus
quantization cwanteiddiad
cursory diofal
peck hobaid
septum teisban
rush rhuthro
inspect archwilio
tallness uchder
death tranc
respiratory resbiradol
constant sefydlog
cultivate coleddu
sparkling llachar
inexact anfanwl
favourable pleidiol
abeyance dirymedd
leisure hamdden
resultant canlyniadol
craftsmanship crefftwaith
compressed cywasgedig
parliamentary seneddol
stork storc
incorporate ymgorffori
pleasantness hyfrydwch
regionalism rhanbartholdeb
stimulate cyffroi
emphasis pwyslais
lineage ach
fuse ymdoddiad
stylish coeth
crush duo
muck budreddi
due dyladwy
lamentation galarnad
protracted hir
negative negydd
humour digrifwch
charge gwefr
permanent arhosol
whisky wisgi
sifter hidl
librarian llyfrgellydd
untarnished glan
intersection croestoriad
highway priffordd
traduce cablu
copious dibrin
fortitude cryfder
midget corrach
dispossess difeddiannu
deserve haeddu
crest brig
aim bwriad
procure ennill
oblong petryal
header pennyn
frontlet rhactal
faculty cynneddf
strident croch
devastating dinistriol
preternatural allnaturiol
boil berwi
amongst ymhlith
gastroenteritis gastroenteritis
lollipop lolipop
conductivity dargludedd
crystallize crisialu
plough gwŷdd
wallop ffusto
get caffael
collinear unllin
permaculture paramaethu
come dod
contracted crebachlyd
odd hynod
plume pluen
vocalist datgeiniad
nutritive maethol
desiccation dysychiad
opium opiwm
garbage sothach
crab cranca
philharmonic ffilharmonig
onslaught ymosodiad
unrestrained aflywodraethus
integration integriad
crow cân
towards at
retain dal
disruptiveness aflonyddwch
alveolar alfeolaidd
ilium iliwm
inertia anegni
inaugurate urddo
locker coffor
brush brws
accession esgyniad
adduce nodi
educationist addysgwr
hack agen
sojourn aros
over dros
perfector perffeithydd
virtue diweirdeb
vie cystadlu
rhomb rhomb
software meddalwedd
testis caill
productivity cynhyrchiant
divorce ysgariad
weight pwysau
misty niwlog
unevenness anwastadrwydd
tumour tiwmor
course cwrs
screening sgrinio
cargo llwyth
steadfastness sefydlogrwydd
pronominal rhagenwol
conger congren
expertness medrusrwydd
catch dalfa
subsistence cynhaliaeth
skeletal ysgerbydol
wadi sychnant
shriek ysgrech
lousy lleuog
peal tincial
ferocious milain
stalk coesyn
secede ymneilltuo
standardised safonedig
delay oedi
springiness ystwythder
scanty annigonol
tower ymgodi
construe dehongli
pepsin pepsin
amen amen
chat sgwrsio
jersey crys
concrete diriaethol
putty pwti
dampness lleithder
sup llymaid
syndrome syndrom
latency cuddni
wallow ymdrybaeddu
mutiny miwtini
frank agored
trailer trelar
monastery mynachlog
impact ardrawiad
municipality bwrdeistref
returns enillion
pedal pedalu
five pum
industrialize diwydiannu
advertise hysbysebu
identifier dynodwr
cluster clystyru
tight tyn
rush brys
clod tywarchen
printed argraffedig
heroine arwres
denizen preswylydd
sailing hwyliad
perfume perarogli
divert difyrru
boiler boeler
rancour casineb
reuptake ailgydio
augury darogan
etc ayyb
moiety hanner
dust llwch
inculpate beio
juicy suddog
cramp cramp
kinsman câr
triumph ennill
retarded araf
burly corffol
grouping dosbarthiad
mighty cadarn
stepmother llysfam
reach estyn
alveolus alfeolws
illness afiechyd
essentials hanfodion
pistol llawddryll
bacteriostatic gwrthfacteria
wound archoll
fear arswydo
choice dethol
gate clwyd
similar cyffelyb
adulteration llygriad
cousin cyfnither
which pa
rating cyfraddiad
garage modurdy
unravel datod
lead plwm
strong nerthol
require gofyn
fawn gwenieithio
gather casglu
furbish caboli
eager awchus
repeating eilaidd
grovel ymgreinio
pretension ymhoniad
extirpate distrywio
drudgery caledwaith
comradeship brawdoliaeth
wired gwifrog
tangible sylweddol
flagrant cywilyddus
thump pwniad
refresh adnewyddu
sneer glaswenu
ceramics cerameg
global cyffredinol
consolidation cyfnerthiad
parch sychu
allure denu
diol deuol
braggart ymffrostiwr
impact effaith
fibre edefyn
spelling sillafiad
segregate didoli
greedy barus
retrench cwtogi
weariness blinder
evenness gwastadrwydd
summer haf
plait plethu
clutter annibendod
rout anhrefn
malady clefyd
puzzled dryslyd
restraining ataliol
impresario impresario
indifference difrawder
frolicsome chwareus
acumen craffter
mug mwg
salver hambwrdd
hide cuddfan
cynical coeglyd
delinquent tramgwyddus
page galw
ply trwch
observation sylw
loathe ffieiddio
piebald brith
colonial trefedigaethol
fleet llynges
story stori
asphalt asffalt
fie ffi
lattice delltwaith
bed gwelyo
machinery peiriannau
whistle chwibanu
moan cwyno
calculator cyfrifydd
adherence ymlyniad
portend rhagarwyddo
superlative uchaf
patter pitran
auditorium awditoriwm
corroborate cadarnhau
anarchist anarchaidd
swash tasgu
tangle cymysgu
unabashed hy
erudition gwybodaeth
frigate ffrigad
wince gwingo
pilferer chwiwgi
jag rhwygo
dig cloddio
raffle rafflo
premeditated rhagfwriadol
chimney simnai
chamois gafrewig
freeman rhyddfreiniwr
support cefnogaeth
ensemble ensemble
quadrant pedrant
partitive rhaniadol
glib ffraeth
wrongdoer troseddwr
lamina haen
carbon carbon
insight mewnwelediad
sport chwaraeon
irksome blinderus
rapport cydberthynas
matron metron
judgement dyfarniad
escalate codi
ward ward
represent cynrychioli
amendment gwelliant
cropper cwymp
vase ffiol
inaccessible anhygyrch
sustain cynnal
modular modwlar
electronegativity electronegatifedd
odour arogl
longevity hirhoedledd
ageism oedraniaeth
puzzled syn
rein afwyn
generate cynhyrchu
brochure llyfryn
jemmy trosol
groggy meddw
impart rhoi
orbit rhod
wisdom doethineb
tempting deniadol
reafforestation ailgoedwigo
gulf gagendor
lessee prydleswr
jewel tlws
idiom idiom
usefulness budd
receding enciliol
race ras
hock gar
maladministration camweinyddu
accomplish gorffen
correlate cydberthynas
mount esgyn
objectivity gwrthrychedd
incident tro
cantor cantor
interstellar rhyngserol
opus gwaith
rest seibiant
townscape treflun
unaccountable anatebol
exorbitance gormodedd
contribution cyfraniad
biology bywydeg
toll canu
hope gobaith
whinberry llusen
spiv sbif
chink agen
yield ildio
bedding haenau
lure denu
loudspeaker seinydd
customer cwsmer
grease seimio
blank gwacter
estimate amcangyfrif
endanger peryglu
cunning cyfrwys
infallibility anffaeledigrwydd
cold oer
agrarian amaethol
bawdy anniwair
bugle biwgl
knocker curwr
corpulence corffolaeth
embrace cofleidiad
prosperous llwyddiannus
reward gwobrwyo
hot poeth
untenanted gwag
underpants trôns
quarry cware
gloss sglein
hinge colfach
pin pinio
cringe ymgreinio
solution hydoddiant
foam glafoerio
remunerative proffidiol
atmospheric atmosfferig
unformed afluniaidd
harmlessness diniweidrwydd
realize gwerthu
fasten hoelio
wide rhwth
cube ciwbio
sabbatical sabothol
medical meddygol
incubator deorydd
consultant ymgynghorwr
sagacious ffel
grammatical gramadegol
quarry chwarela
furry blewog
streamlet cornant
marquis ardalydd
indebted dyledus
murmur sibrwd
pensioner pensiynwr
adjustable addasadwy
only unig
nine naw
propitiate heddychu
typhoid teiffoid
kerfing toriad
complaint cwyn
couch glwth
quartz cwarts
bier elor
choose dethol
vegetarian llysieuwr
spatter ysgeintio
swastika swastica
specification manyleb
vegetable llysieuyn
seasoning sychu
infinity anfeidroldeb
cold oerfel
knotter clymwr
batten ymbesgi
cube ciwb
brawn cyhyr
mistrustful amheus
solicit deisyf
strength cryfder
marine llongau
musty llwyd
unconcern difaterwch
caisson ceson
educator addysgwr
strike clirio
alveolar gorfannol
alliterate cyseinio
employee gweithwraig
irate dig
demonstrate gwrthdystio
shale siâl
silhouette amlinell
reorientation ailgyfeiriad
mini mini
anticipation disgwyliad
reluctant anfodlon
evasion gocheliad
suitable priodol
drunkard meddwyn
recompense iawndal
couple cyplysu
devotional defosiynol
strength nerth
sickle cryman
moot cyfarfod
folder plygwr
earthen pridd
madman ynfytyn
program rhaglen
dullard hurtyn
association cymdeithasfa
passionate nwydwyllt
stupefy hurtio
stubbornness ystyfnigrwydd
skyline nenlinell
accomplished medrus
effectiveness effeithiolrwydd
rock siglo
syntax cystrawen
screen cysgodi
supportive cefnogol
spay ysbaddu
strange dieithr
fare pris
replacement amnewidyn
snare magl
palatial palasaidd
stake cyngwystlo
spoon llwy
miscreant adyn
tender tyner
prime cysefin
phrase brawddegu
silver arian
radical cysefin
astrologer astrolegydd
pronounce ynganu
occupier preswyliwr
crypt claddgell
hard anodd
progressive graddedig
shaky crynedig
metallic metelig
tolerant goddefgar
twist dirdro
bug chwilen
board astell
pate corun
elect ethol
there yno
aiguille nodwydd
slot agen
sottish meddw
undo dinistrio
gambrel cambren
residuum gweddill
turbary mawnog
ancillary cynorthwyol
hide celu
satisfy boddio
bareness moelni
plead pledio
waterproof diddos
spot sbotio
fire tanio
disastrous trychinebus
profuse toreithiog
milling melino
moth gwyfyn
shot joch
smudge baw
passion nwyd
episode pennod
weed chwynnyn
steam anwedd
publication cyhoeddiad
screw sgriwio
fatigue lludded
shudder crynu
optional opsiynol
monomer monomer
no nid
outport allborth
sedimentary gwaddodol
extract tynnu
diversification amrywiaeth
nectar neithdar
cruse ystên
resident preswyl
disagreement anghydfod
matrimony priodas
amount cyfrif
poor gwael
mislay camosod
rascally cnafaidd
olfactory arogleuol
bald moel
contact cysylltiad
unmixed pur
overcrowding gorlenwi
suspended crog
illuvial mewnlifol
boat bad
district ardal
spurt tasgu
polyurethane polywrethan
way cyfeiriad
granary granar
instrumentalist offerynnwr
fatuity ynfydrwydd
confer ymgynghori
secret cêl
charm swyno
inflationary chwyddiannol
coast costio
set cadarn
snooker snwcer
shandygaff siandi
recognize cydnabod
pretentious ymhongar
terrible erchyll
spot unfan
rebuff sen
stinking drewllyd
constraint cyfyngydd
ear dolen
recalcitrant ystyfnig
worthy teilwng
maybe ella
fetish ffetis
thrush bronfraith
carcass ysgerbwd
affront sarhad
decontaminate dadlygru
plentiful aml
sophist soffydd
commensurate cymesur
bow bwa
faint egwan
inhibit gwahardd
hood cwcwll
despondent digalon
caveat cafeat
quiescent llonydd
forthright plaen
operation gweithred
innervate nerfogi
member aelod
wholeness cyfanrwydd
providential rhagluniaethol
personnel personél
clevis clöig
closet toiled
mirthful llon
curve tro
realist realydd
plot cynllun
preferable dewisach
abandoned gwag
convection darfudiad
severe difrifol
paltriness gwaeledd
libellous enllibus
sluggish diog
plank astell
fretful cwynfanllyd
sanitary iechydol
his ei
burn llosg
rickety bregus
reinstate adfer
unwavering diysgog
predicate traethiad
privation amddifadrwydd
privacy preifatrwydd
plane gwastad
ascender esgynnwr
hiccup igian
curl cwrl
deuce diafol
propagate lledaenu
underhand llechwraidd
swoop disgyniad
second ail
convention confensiwn
tantamount cyfartal
evaluate cloriannu
carpus arddwrn
reformatory diwygiol
minim minim
premise annedd
some tua
doubt amheuaeth
carved cerfiedig
dive plymiad
recognition cydnabyddiaeth
olive olewydden
defecate cachu
isoperimetric isoperimetrig
convergent cydgyfeiriol
procedural trefniadol
myeloid myeloid
chat ymgomio
exclusive unigryw
throne gorsedd
rider atodiad
hie prysuro
monstrous anferth
advocacy eiriolaeth
benumb fferru
prune tocio
lithe heini
crustacea cramenogion
hoarder cleciwr
abatement lleihad
pen pin
atrophy crebachu
maim anafu
stress pwysleisio
directing cyfarwyddo
listlessness llesgedd
mosque mosg
lune cilgant
horrid erchyll
eminent enwog
basher colbiwr
mat mat
farm ffarmio
uprising gwrthgodiad
char rhuddo
change cyfnewidiad
centimetre centimedr
uneasy aflonydd
identify enwi
modular modiwlaidd
hellish uffernol
quicksand sugndraeth
beneath isod
graduate graddnodi
deprecate anghymeradwyo
glancing lletraws
kilowatt cilowat
fixation obsesiwn
balloon balŵn
intensity arddwysedd
colony gwladfa
citadel caer
urchin crwt
reveille galwad
unassailable diysgog
flyer awyrennwr
denature dadnatureiddio
dicky simsan
infatuation ynfydrwydd
price pris
considerable cryn
immunologist imiwnolegydd
fluorine fflworin
override gorgyffwrdd
discredit anfri
decay dadfeilio
scale graddio
undulate ymdonni
garret croglofft
dreamer breuddwydiwr
suit siwtio
erythema cochni
redoubtable cryf
subtitle isdeitl
dish saig
rein ffrwyno
sting colyn
nervous gofidus
introduction cyflwyniad
mice meis
reminiscent atgofus
kern gorgyffyrddiad
improper anweddus
wheel olwyn
stalwart dewr
horde llu
field cae
ringed cylchog
aldehyde aldehyd
forecast rhagolwg
impudent hy
coequal cydradd
amity cyfeillgarwch
classics clasuron
sidle gwyro
sickening atgas
sulphide sylffid
draw tolio
forage chwilota
infuriating mileinig
propositional gosodiadol
firmament ffurfafen
rip rhwygo
channel sianel
spur cainc
natal genedigol
somewhat lled
astrophysics astroffiseg
legacy cymynrodd
liquidator datodwr
deliverance gwaredigaeth
heriot ebediw
authoritarianism awdurdodyddiaeth
acre acer
embolden hyfhau
fringe eddi
ungainly afrosgo
connected cysylltiedig
census cyfrifiad
ripe gwisgi
counter masnachdy
resort cymorth
calliper calipr
impassioned cyffrous
initiate cychwyn
inlay brithwaith
treacle triagl
sailor morwr
nova nofa
venal anonest
retrospective adolygol
bellow bugunad
gangway ale
bridge pontio
dimorphous dwyffurf
fatten pesgi
landrover landrofer
stagnate marweiddio
vouchsafe caniatáu
crash cwymp
settee soffa
form ffurflen
earthy priddlyd
radicle cynwreiddyn
tenor tenor
draught dracht
crash chwalfa
imbrue gwlychu
comedian comedïwr
bangle breichled
foul ffowl
delight hyfrydwch
soup cawl
primary sylfaenol
polarize polareiddio
weekend penwythnos
rear ôl
abscission toriad
lance gwaywffon
rakish ofer
stud styden
homomorphic homomorffig
plosive ffrwydrol
caducous byrhoedlog
artful dichellgar
delegate dirprwy
beautiful teg
lurid tanbaid
courtly boneddigaidd
affray affräe
tale clec
travesty gwawdio
mortise morteisio
facade ffasâd
hustle gwthio
seep tryddiferu
archer saethwr
slumber huno
stalk cynheilydd
allocate dyrannu
doom tynged
abide goddef
saponification seboneiddio
sensual cnawdol
annex ychwanegiad
jig jig
lighten goleuo
adjudicate beirniadu
manifold amrywiol
traducement cabledd
change newid
mean cymedr
neither nac
security gwarchodaeth
irreverent amharchus
viable ymarferol
almshouse elusendy
republication ailgyhoeddiad
wrangle ymryson
dulcimer dwlsimer
laughable chwerthinllyd
flurried ffwdanus
cordial gwresog
unaccompanied digwmni
derangement dryswch
extension estyniad
initiation ynydiad
dissolve hydoddi
accumulative cynyddol
mark nodi
hoax cast
enormous anferth
likelihood tebygoliaeth
lift codiad
incentive cymhelliant
paint peintio
seaman llongwr
baptistry bedyddfan
solvent hydoddydd
resection tociad
handle coes
perchance efallai
sided ochrog
row rhes
lad llanc
retreat encil
disturbed cynhyrfus
horde torf
snuff snisin
quash diddymu
shelf ysgafell
adroit medrus
unimpeded dirwystr
charm rheibio
elude osgoi
asymmetry anghymesuredd
rivet hemio
particularize manylu
quote dyfynnod
succulent blasus
chronology amseryddiaeth
proof prawf
evidential tystiolaethol
muck tail
harpsichord harpsicordydd
comment esboniad
sliding llithr
outgrowth canlyniad
schematic cynlluniedig
game chwarae
monophonic monoffonig
teller rhifwr
manual cyfarwyddiadur
jet awyren
voter pleidleisiwr
how pa
irresolute amhenderfynol
livestock anifeiliaid
stodgy trymaidd
discrepancy anghysondeb
occupier meddiannwr
hornbeam oestrwydden
filigree ffiligri
uncivilized anwar
temporal amseryddol
cheat twyllo
successful llwyddiannus
manor maenor
process cnap
malleable hydrin
publicize hysbysebu
formal ffurfiol
waxy cwyraidd
unruly afreolus
drawing lluniad
encumber beichio
toad llyffant
overdose gorddos
smell arogl
cantata cantata
commonwealth gweriniaeth
like unwedd
pier piler
readapt ailgymhwyso
trespass tresmasu
vapidity diflastod
conceptual cysyniadol
valid dilys
grudge gwarafun
topical argroenol
profit elw
reciprocal cilyddol
dyad deuad
quickness cyflymder
protocol protocol
whisky whisgi
prosy rhyddieithol
correct cywiro
diverting difyrrus
defile halogi
gripe crafangu
unwell anhwylus
wade rhydio
flank ystlysu
grail greal
fix cyweirio
stroll tro
patois tafodiaith
adaptation cyfaddasiad
utensils offer
clout carp
assent cydnabod
squally stormus
remedial adferol
spoon caru
stack tas
tire cylch
rolling tonnog
sidereal serol
append ychwanegu
printing argraffiad
exiguous prin
countenance gwedd
ascent rhiw
investigative ymchwiliol
taint mefl
hiatus bwlch
divergent dargyfeiriol
kosher kosher
caret caret
disrupt aflonyddu
nurseryman garddwr
junkie cyffurgi
invent dychmygu
renew adnewyddu
branching ceinciog
declination gogwyddiad
blind bleind
insider mewnwr
safe dihangol
token arwydd
areal arwynebaidd
bestow rhoddi
hover gwibio
formerly gynt
spray chwistrellu
boycott boicot
infinite anfeidraidd
as ag
strip stribyn
fecund epilgar
blessed gwynfydedig
accumulation casgliad
chiropodist ciropodydd
cognate cytras
ovulate ofylu
confused dryslyd
incalculable difesur
uncivilized anwaraidd
relational perthynol
erode ysu
liver afu
pulley pwli
question cwestiwn
plummet plymen
maturity aeddfedrwydd
organization corff
erosive erydol
impiety annuwioldeb
craggy creigiog
adjectival ansoddeiriol
front blaen
lactose lactos
louvre lwfer
resplendence disgleirdeb
uprising gwrthryfel
false anwir
stand sefyll
dig cloddfa
sacrament sagrafen
swelter pobi
underpass tanffordd
tacit distaw
structural saernïol
hail henffych
prevailing pennaf
docile dof
camping gwersylla
palsy parlys
pate pen
inestimable amhrisiadwy
detach gwahanu
recent diweddar
flex fflecs
petroleum petrolewm
decryption dadgryptio
redundant afraid
gusher ffynnon
shank coes
biochemist biocemegydd
slype tramwyfa
stool stôl
huff digio
hurl hyrddio
rifle reiffl
hoe hof
ideology ideoleg
woody coediog
proliferate amlhau
convince argyhoeddi
immunity imiwnedd
forefinger mynegfys
allegiance teyrngarwch
daze dallu
veil llen
diaeresis didolnod
save cadw
zither sither
caressing caruaidd
propitious ffafriol
fillip symbyliad
perilymph perilymff
nemesis dialedd
solute hydoddyn
line lein
exposition dangosiad
treatment triniaeth
incised endoredig
blatant digywilydd
scandium scandiwm
facilitate hyrwyddo
thrilling cyffrous
oxidation ocsideiddiad
scrolling sgrolio
augment helaethu
quern breuan
lice llau
subsidiary atodol
liner leiner
hallucination rhithweledigaeth
hapless anlwcus
honesty gonestrwydd
biogeography bioddaearyddiaeth
mess annibendod
homicide dynladdiad
bung corcyn
directive cyfarwyddeb
skeleton ysgerbwd
ball pêl
retrieve adennill
regency rhaglywiaeth
segment segment
measurable mesuradwy
suck sugno
outgrowth cynnyrch
tutelage gwarchodaeth
temper tymer
wart dafaden
censorship sensoriaeth
gossamer gwawn
clear eglur
council cyngor
tracery rhwyllwaith
hypotenuse hypotenws
lectionary llithlyfr
encouraging calonogol
purpose amcan
goblin coblyn
masterpiece gorchest
shove gwthio
scene lle
bag bagio
imagine dychmygu
household gosgordd
theological diwinyddol
eukaryote ewcaryot
nourish meithrin
trespass tresbas
decimation dinistrio
enshroud gorchuddio
bland mwyn
counterbalance gwrthbwyso
footing sylfaen
extraordinary anghyffredin
tide llanw
increment ychwanegiad
taxi tacsi
slander athrodi
secretive celgar
key cai
discharge cliriad
bank glan
union undeb
haematite hematit
martyr merthyr
opulence cyfoeth
waggle siglo
yell gwaedd
phonology seinyddiaeth
indemnity sicrhad
capitalise cyfalafu
prostitute putain
hatchel heislanu
request cais
venturous anturus
unenforceable anorfodadwy
lightning lluched
volcano llosgfynydd
departed ymadawedig
unlimited annherfynol
statics stateg
purge glanhau
pliers pleiars
immanence mewnfodaeth
tunic tiwnig
petrify parlysu
sample enghraifft
legal cyfreithlon
witness ardystio
flaw bai
bizarre od
monitory rhybuddiol
splint sblint
intimate mynegi
minority lleiafrifol
licentiousness oferedd
imminent gerllaw
admonish siarsio
unicorn uncorn
smirch difwyno
nervous swil
superintendency arolygiaeth
gamble hapchwarae
agreeable clên
penchant tuedd
cocoon cocŵn
cheer sirioli
entertainer diddanwr
leisured hamddenol
charger cadfarch
standard lluman
bow blaen
trilogy triawd
trussed cypledig
scene man
cardiologist cardiolegydd
colonization gwladychiad
heaviness trymder
confide ymddiried
style modd
staircase grisiau
humorous doniol
movement symudiad
travail trafael
bezel gwefl
increment cynnydd
wonder syndod
springtime gwanwyn
prostrate ymledol
propensity tuedd
fragrant persawrus
expense cost
mortar breuan
jerk ysgytio
behind hwyr
raddle radl
bibliographer llyfryddwr
entomb claddu
craft ystryw
variability cyfnewidioldeb
ricochet adlam
clipping toriad
solid solet
enlighten goleuo
mace mês
obliquity gogwydd
prostitution puteindra
periphery perifferi
noble pendefig
extensible estynadwy
scare dychrynu
comrade cydymaith
merit haeddu
frigidity oerni
voluminous swmpus
bandwidth ystod
manful dewr
glee llonder
thy dy
integration integreiddiad
fine manwl
crepitation rhugliad
georgette georgette
mucus llysnafedd
dangerous peryglus
invasion meddiant
plop plop
structure adeiladwaith
morrow trannoeth
silliness ffolineb
menstruation mislif
electrolyte electrolyt
tantalizing poenus
graduate graddoli
rehabilitation adferiad
transpose trawsgyweirio
gentlemanly boneddigaidd
washer golchwr
herbarium llysieufa
uneven anwastad
correspondent gohebydd
churchyard mynwent
sensor synhwyrydd
landing glanio
plank planc
krypton crypton
primitive cynnar
fetter hualu
howl oernadu
allotment rhandaliad
unabridged cyflawn
prize gwerthfawrogi
wave tonni
plug plygio
voluble huawdl
sort trefniad
mill melin
dandy coegyn
parentage teulu
pond pwll
neurotic niwrotig
injustice cam
muskeg mignen
thrust hyrddio
kennel cwb
contemplation myfyrdod
murk caddug
inclusive cynhwysol
grouse grwgnach
bunch pwysi
duchy dugiaeth
fulmination bygythiad
play drama
boom bŵm
eradicate difa
probe archwilio
extinct marw
cab cab
propagate epilio
renovate adnewyddu
whisper sisial
unimportant dibwys
sluggard diogyn
mitzvah mitzvah
ejaculation alldafliad
pavement pafin
pastiche pastiche
pincushion pincas
combinational cyfuniadol
dirty bawlyd
backwardness arafwch
stigma gwarthnod
depress gostwng
bonny nobl
piscina pysgodlyn
effacement dilead
controller goruchwyliwr
extend ymestyn
boiler bwyler
untrodden unig
mild gwan
caution rhybudd
cyclical cylchol
carbuncle cornwyd
minder gwarchodwraig
highlight uchafbwynt
kindly caredig
ending terfyniad
reach cyrhaeddiad
rank graddio
spur ysbarduno
doughty dewr
leverage trosoliad
indivisible anwahanadwy
squally gwyntog
excess gormodedd
stowage storfa
type print
gate adwy
alfalfa maglys
shout gweiddi
commonplace dibwys
unfasten agor
chimerical dychmygol
league cynghreirio
reasonableness rhesymoldeb
brand pentewyn
horrible ofnadwy
totem totem
navvy labrwr
sloven slebog
elation ymlediad
destruction distryw
heathen paganaidd
pager galwr
employee gweithiwr
sneering gwatwarus
rosary paderau
vagina fagina
fragmentary darniog
sympathize cydymdeimlo
range rhes
likeable dymunol
identification adnabyddiaeth
compendium crynodeb
colleague cydweithwraig
decrement lleihad
water dyfrio
choir côr
opulent cyfoethog
across dros
penchant gogwydd
untrue anwir
curio crair
tumbler gwydryn
ferry cludo
encampment gwersyll
