marwolaeth,carcharor,5.03
cyfreithiwr,tystiolaeth,6.69
bywyd,marwolaeth,7.88
bywyd,tymor,4.5
gair,tebygrwydd,4.75
bwrdd,argymhelliad,4.47
llywodraethwr,cyfweliad,3.25
opec,gwlad,5.63
heddwch,atmosffer,3.69
heddwch,yswiriant,2.94
tiriogaeth,cilomedr,5.28
teithio,gweithgaredd,5
cystadleuaeth,pris,6.44
defnyddiwr,hyder,4.13
defnyddiwr,egni,4.75
problem,maes awyr,2.38
car,hedfan,4.94
credyd,cerdyn,8.06
credyd,gwybodaeth,5.31
gwesty,rhagarcheb,8.03
groseri,arian,5.94
cofrestru,trefniad,6
trefniad,llety,5.41
mis,gwesty,1.81
teip,math,8.97
cyrraedd,gwesty,6
gwely,cwpwrdd,6.72
cwpwrdd,dillad,8
sefyllfa,casgliad,4.81
sefyllfa,ynysiad,3.88
amhleidioldeb,diddordeb,5.16
cyfeiriad,cyfuniad,2.25
stryd,lle,6.44
stryd,rhodfa,8.88
stryd,bloc,6.88
stryd,plant,4.94
rhestr,agosrwydd,2.56
rhestr,categori,6.38
symudol,ffôn,7.81
cynhyrchu,heicio,1.75
meincnod,indecs,4.25
cyfryngau,masnachu,3.88
cyfryngau,ennill,2.88
difidend,taliad,7.63
difidend,cyfrifiad,6.48
cyfrifiad,cyfrifiant,8.44
arian cyfred,marchnad,7.5
opec,olew,8.59
olew,stoc,6.34
datganiad,cynhyrchu,3.38
datganiad,rhybudd,6
elw,rhybudd,3.88
elw,colled,7.63
doler,yen,7.78
doler,elw,7.38
doler,colled,6.09
cyfrifiadur,meddalwedd,8.5
rhwydwaith,caledwedd,8.31
ffôn,offer,7.13
offer,crëwr,5.91
moethus,car,6.47
pump,mis,3.38
adroddiad,ennill,3.63
buddsoddwr,ennill,7.13
hylif,dŵr,7.89
pêl fas,tymor,5.97
gêm,buddugoliaeth,7.03
gêm,tîm,7.69
marathon,sbrint,7.47
gêm,cyfres,6.19
gêm,colled,6.97
saith,cyfres,3.56
bwyd môr,môr,7.47
bwyd môr,bwyd,8.34
bwyd môr,cimwch,8.7
cimwch,bwyd,7.81
cimwch,gwin,5.7
bwyd,paratoi,6.22
fideo,archif,6.34
dechrau,blwyddyn,4.06
dechrau,paru,4.47
gêm,rownd,5.97
paffio,rownd,7.61
pencampwriaeth,twrnamaint,8.36
ymladd,gorchfygiad,7.41
llinell,yswiriant,2.69
dydd,haf,3.94
haf,sychder,7.16
haf,natur,5.63
dydd,gwawr,7.53
natur,amgylchedd,8.31
amgylchedd,ecoleg,8.81
natur,dyn,6.25
dyn,menyw,8.3
dyn,llywodraethwr,5.25
llofruddiaeth,dynladdiad,8.53
sebon,opera,7.94
opera,perfformiad,6.88
bywyd,gwers,5.94
ffocws,bywyd,4.06
cynhyrchu,criw,6.25
teledu,ffilm,7.72
cariad,ffrae,6.19
gwyliwr,cyfresol,2.97
posibilrwydd,merch,1.94
poblogaeth,datblygu,3.75
moesoldeb,pwysigrwydd,3.31
moesoldeb,priodas,3.69
mecsico,brasil,7.44
rhywedd,cydraddoldeb,6.41
newid,agwedd,5.44
teulu,cynllunio,6.25
opera,diwydiant,2.63
siwgr,dull,0.88
ymarfer,sefydliad,3.19
gweinidogaeth,diwylliant,4.69
problem,her,6.75
maint,amlygrwydd,5.31
gwlad,dinesydd,7.31
planed,pobl,5.75
datblygu,mater,3.97
profiad,cerddoriaeth,3.47
cerddoriaeth,prosiect,3.63
gwydr,metel,5.56
alwminiwm,metel,7.83
siawns,credadwyedd,3.88
arddangosiad,memorabilia,5.31
cyngerdd,pencerddor,6.81
roc,jazz,7.59
amgueddfa,theatr,7.19
arsylw,pensaernïaeth,4.38
gofod,byd,6.53
cadwraeth,byd,6.19
mynediad,tocyn,7.69
cawod,storm,6.31
cawod,llifogydd,6.03
tywydd,rhagolwg,8.34
trychineb,ardal,6.25
llywodraethwr,swyddfa,6.34
pensaernïaeth,canrif,3.78
