word1,word2,POS,SimLex999,conc(w1),conc(w2),concQ,Assoc(USF),SimAssoc333,SD(SimLex)
aflonydd,ifanc,A,1.6,2.46,3.16,2,0.41,0,0.85
twp,deallus,A,0.75,2.36,2.46,1,0.37,0,1.5
drwg,gwych,A,0.35,1.68,1.81,1,0.35,0,1.49
anodd,syml,A,0.87,2.21,1.62,1,0.34,0,0.44
angenrheidiol,pwysig,A,7.37,1.8,2.14,1,0.34,0,1.36
drwg,ardderchog,A,0.65,1.68,2.07,1,0.28,0,1.43
crac,balch,A,1.45,2.76,2.36,1,0.28,0,1.17
onest,euog,A,1.18,1.66,2.36,1,0.27,0,1.68
hawdd,cryf,A,0.52,2.07,2.5,1,0.27,0,1.87
hawdd,hyblyg,A,4.1,2.07,2.64,1,0.27,0,1.08
sicr,siwr,A,8.42,1.68,1.73,1,0.23,0,1.29
hanfodol,angenrheidiol,A,8.97,1.52,1.8,1,0.21,0,1.11
gwahanol,normal,A,1.08,1.97,1.4,1,0.21,0,1.75
slei,clyfar,A,7.25,2.03,1.79,1,0.21,0,1.41
hollbwysig,pwysig,A,8.82,2.08,2.14,1,0.21,0,1.25
llym,creulon,A,8.18,2.23,2.11,1,0.21,0,1.66
plentynaidd,ffôl,A,5.5,2.52,1.84,1,0.21,0,1.45
prin,anghyffredin,A,9.17,2.57,1.96,1,0.21,0,1.21
cyfeillgar,hael,A,5.9,2.32,2.25,1,0.21,0,0.6
bregys,rhewllyd,A,2.38,2.86,3.28,2,0.21,0,0.84
hir,cul,A,3.57,3.18,3.04,2,0.21,0,1.62
mawr,trwm,A,6.18,3.66,3.37,2,0.21,0,1.54
garw,rhewllyd,A,2.47,3.83,3.28,2,0.21,0,1.37
rhyfedd,dieithr,A,9.37,1.79,1.86,1,0.2,0,1.54
anghyfreithlon,anfoesol,A,4.28,2.37,1.59,1,0.2,0,1.57
drwg,euog,A,4.2,1.68,2.36,1,0.2,0,1.47
cyfoes,hynafol,A,0.73,2.31,2.04,1,0.2,0,0.71
newydd,hynafol,A,0.23,2.81,2.04,1,0.2,0,0.46
diflas,doniol,A,0.55,2.37,2.5,1,0.2,0,1.76
hapus,ifanc,A,2,2.56,3.16,2,0.2,0,0.47
hawdd,mawr,A,1.12,2.07,3.66,2,0.2,0,1.22
gwych,ofnadwy,A,1.17,1.81,1.92,1,0.15,0,1.53
pwt,enfawr,A,0.6,3.11,3.54,2,0.15,0,0.59
cwrtais,iawn,A,7.63,1.85,1.78,1,0.14,0,1.42
cymedrol,cywilydd,A,2.65,2.21,1.74,1,0.14,0,1
egsotig,anghyffredin,A,8.05,2.11,1.96,1,0.14,0,0.93
twp,clyfar,A,1.17,2.36,1.79,1,0.14,0,1.3
hyfryd,bendigedig,A,8.65,2.38,1.82,1,0.14,0,1.29
hysbys,amlwg,A,8.48,2.29,2.07,1,0.14,0,1.69
ofn,pryderus,A,5.07,2.7,1.68,1,0.14,0,1.28
ffurfiol,iawn,A,8.02,2.7,1.78,1,0.14,0,1.31
diflas,pŵl,A,8.25,2.33,2.37,1,0.14,0,1.85
hyfryd,llon,A,6.58,2.38,2.34,1,0.14,0,1.56
anhapus,crac,A,5.95,2.04,2.76,1,0.14,0,1.36
sad,terrible,A,5.4,3.07,2.04,1,0.14,0,0.44
sâl,gwallgof,A,3.57,2.97,2.37,2,0.14,0,0.95
treisgar,crac,A,6.98,3.1,2.53,2,0.14,0,1.55
llwythog,trwm,A,5.9,2.96,3.37,2,0.14,0,1.28
brwnt,rhad,A,1.6,4.23,2.11,2,0.14,0,1.1
elastig,hyblyg,A,7.78,3.73,2.64,2,0.14,0,1.09
caled,dwys,A,5.9,3.76,3.14,2,0.14,0,1
diweddar,newydd,A,7.05,2.5,2.81,2,0.13,0,1.05
beiddgar,prowd,A,3.97,2.43,2.07,1,0.12,0,1.36
slei,rhyfedd,A,1.97,2.03,1.86,1,0,0,1.07
rhyfedd,slei,A,2.07,1.86,2.03,1,0,0,0.51
twp,prin,A,0.48,2.36,1.96,1,0,0,1.55
slei,cryf,A,0.58,2.03,2.5,1,0,0,1.01
ardderchog,crac,A,0.4,2.07,2.76,1,0,0,0.86
cymedrol,hyblyg,A,0.98,2.21,2.64,1,0,0,1.89
ffres,llydan,A,0.4,1.97,3.06,1,0,0,1.41
enfawr,twp,A,0.48,3.54,2.36,2,0,0,0.91
mawr,hyblyg,A,0.48,3.37,2.64,2,0,0,1.59
brwnt,cul,A,0.3,4.23,3.04,2,0,0,0.89
gwraig,gŵr,N,2.3,4.13,4.11,3,8.85,1,0.84
llyfr,testyn,N,6.35,4.9,4.93,4,8.81,1,1.43
priodfab,priodferch,N,3.17,4.54,4.63,3,8.65,1,0.68
nos,dydd,N,1.88,4.52,3.92,3,8.19,1,1.17
de,gogledd,N,2.2,3.84,4.14,3,7.72,1,0.59
awyren,maes awyr,N,3.65,4.92,4.87,4,7.57,1,1.07
ewythr,modryb,N,5.5,4.24,4.17,3,7.46,1,1.63
ceffyl,caseg,N,8.33,5,4.75,4,7.4,1,0.73
gwaelod,pen,N,0.7,4.25,3.93,3,6.96,1,1.16
ffrind,cyfaill,N,8.78,3.07,3.48,2,6.87,1,0.93
myfyriwr,disgybl,N,9.35,4.92,4.55,3,6.83,1,1.11
byd,glôb,N,6.67,4.36,4.59,3,6.79,1,0.67
coes,braich,N,2.88,4.83,4.96,4,6.73,1,0.79
awyren,jet,N,8.1,4.92,4.77,4,6.62,1,1.24
menyw,dyn,N,3.33,4.46,4.79,3,6.6,1,1.42
ceffyl,ebol,N,7.07,5,4.96,4,6.54,1,0.84
actores,actor,N,7.12,4.54,4.57,3,5.78,1,1.3
athro,hyfforddwr,N,9.25,4.52,4.26,3,5.66,1,1.53
ffilm,ffilm,N,8.87,4.59,4.71,3,5.43,1,1.72
aderyn,gwalch,N,7.85,5,4.93,4,5.29,1,0.91
gair,geiriadur,N,3.68,3.56,4.62,3,5.2,1,1.56
arian,cyflog,N,7.88,4.54,3.69,3,5.16,1,1.11
ci,cath,N,1.75,4.85,4.86,4,5.13,1,1.3
ardal,rhanbarth,N,9.47,3.72,3.19,2,5.12,1,0.58
llynges,byddin,N,6.43,3.93,4.7,3,5,1,0.53
llyfr,llenyddiaeth,N,7.53,4.9,4.1,3,4.86,1,0.45
dillad,cwpwrdd,N,3.27,4.76,4.83,4,4.83,1,1.29
machlud,gwawr,N,2.47,4.54,4.69,3,4.8,1,1.12
plentyn,oedolyn,N,2.98,4.78,4.4,3,4.59,1,1.48
buwch,gwartheg,N,9.52,4.96,4.64,4,4.39,1,0.79
llyfr,stori,N,5.63,4.9,3.3,3,4.19,1,0.78
gaeaf,haf,N,2.38,3.84,3.64,3,3.96,1,0.47
tacsi,cab,N,9.2,4.93,4.88,4,3.86,1,1.23
coeden,masarn,N,5.53,5,4.46,3,3.67,1,1.19
gwely,ystafell wely,N,3.4,5,4.9,4,3.53,1,1.25
tô,nenfwd,N,7.58,4.79,4.85,4,3.5,1,0.77
afiechyd,haint,N,7.15,3.45,4.1,3,3.45,1,1.08
braich,ysgwyth,N,4.85,4.96,4.93,4,3.35,1,1.81
dafad,oen,N,8.42,4.9,4.97,4,3.33,1,1.51
boneddiges,boneddwr,N,3.42,4.33,3.57,3,3.29,1,1.08
cwch,angor,N,2.25,4.93,4.77,4,3.25,1,1.1
offeriad,mynach,N,6.28,4.77,4.35,3,3.23,1,0.61
bys traed,bys,N,4.68,4.93,5,4,3.22,1,0.55
afon,nant,N,7.3,4.89,4.5,3,3.21,1,0.81
dicter,cynddaredd,N,8.73,2.41,2.89,2,3.06,1,1.89
dyddiad,calendr,N,4.42,3.9,4.62,3,3.05,1,1.5
môr,cefnfor,N,8.27,4.79,4.86,4,2.91,1,1.3
eiliad,munud,N,4.62,3.3,3.04,2,2.84,1,1.15
llaw,bawd,N,3.88,4.72,4.96,4,2.84,1,0.44
pren,log,N,7.3,4.85,4.96,4,2.79,1,0.87
mwd,baw,N,7.32,4.86,4.86,4,2.76,1,0.48
cyntedd,coridor,N,9.28,4.74,4.72,3,2.7,1,0.76
ffordd,modd,N,7.62,2.34,1.62,1,2.56,1,0.44
llygoden,cath,N,1.12,4.83,4.86,4,2.56,1,1.02
plismon,siryf,N,9.05,4.3,4.5,3,2.54,1,1.55
marwolaeth,angladd,N,4.93,3.73,3.93,3,2.46,1,1.88
cerddoriaeth,alaw,N,6.98,4.31,3.71,3,2.43,1,1.36
cwrw,alcohol,N,7.5,4.88,4.76,4,2.4,1,1.07
ceg,gwefus,N,7.1,4.74,4.96,4,2.28,1,1.4
storm,corwynt,N,6.38,4.7,4.59,3,2.27,1,0.9
treth,incwm,N,2.38,3.89,3.07,2,2.25,1,1.15
blodyn,fioled,N,6.95,5,4.48,4,2.22,1,1.72
papur,cardbord,N,5.38,4.93,4.9,4,2.2,1,1.22
llawr,nenfwd,N,1.73,4.8,4.85,4,2.18,1,0.97
traeth,glan,N,8.33,4.79,4.63,3,2.15,1,0.47
gwialen,llen,N,3.03,4.43,4.82,3,2.13,1,0.39
helgwn,llwynog,N,2.38,4.48,4.97,3,2.13,1,1.36
stryd,lôn,N,5.48,4.75,4.82,4,2.07,1,1.62
cwch,dec,N,4.28,4.93,4.77,4,2.04,1,1.39
car,corn,N,2.57,4.89,5,4,2.04,1,0.79
ffrind,gwestai,N,4.25,3.07,3.83,2,1.97,1,1.41
cyflogwr,gweithiwr,N,3.65,3.81,4.1,3,1.96,1,0.95
llaw,arddwn,N,3.97,4.72,4.93,4,1.96,1,1.32
pêl,canon,N,2.58,5,4.79,4,1.96,1,1.82
alcohol,brandi,N,6.98,4.76,4.81,4,1.93,1,0.57
buddugoliaeth,buddugoliaeth,N,8.98,2.55,2.17,1,1.9,1,0.94
ffôn,bwth,N,3.63,4.96,4.42,3,1.88,1,1.1
drws,drws,N,5.4,4.81,4.75,4,1.88,1,1.86
motel,tafarn,N,8.17,4.93,4.64,4,1.86,1,0.39
dillad,lliain,N,5.47,4.76,4.9,4,1.82,1,1.43
stêc,cig,N,7.47,4.96,4.9,4,1.81,1,1.34
ewin,bawd,N,3.55,4.93,4.96,4,1.76,1,1.16
band,cerddorfa,N,7.08,4.68,4.79,4,1.75,1,1.36
llyfr,beibl,N,5,4.9,4.61,4,1.74,1,1.43
busnes,diwydiant,N,7.02,3.28,3.29,2,1.73,1,1.1
gaeaf,tymor,N,6.27,3.84,3.32,2,1.71,1,1.76
degawd,canrif,N,3.48,3.19,2.83,2,1.64,1,1.36
alcohol,gin,N,8.65,4.76,4.46,3,1.64,1,1.17
het,cot,N,2.67,4.88,4.97,4,1.62,1,1.76
ffenest,drws,N,3.33,4.86,4.81,4,1.56,1,1.6
braich,addwrn,N,3.57,4.96,4.93,4,1.55,1,1.33
tŷ,fflat,N,5.8,5,4.9,4,1.54,1,1.4
gwydr,crisial,N,6.27,4.82,4.58,3,1.52,1,1.48
gwin,brandi,N,5.15,4.79,4.81,4,1.52,1,1.67
crëwr,gwneuthurwr,N,9.62,3.07,3.9,2,1.51,1,1.4
cinio,brecwast,N,3.33,4.5,4.43,3,1.49,1,1.72
braich,cyhyr,N,3.72,4.96,4.5,3,1.45,1,0.83
sgwigen,trochion,N,8.57,4.6,4.59,3,1.42,1,1.59
bara,blawd,N,3.33,4.92,4.97,4,1.42,1,1.25
marwolaeth,trasiedi,N,5.8,3.73,2.07,2,1.41,1,1.13
absenoldeb,presenoldeb,N,0.4,2.31,2.72,1,1.38,1,1.5
dryll,canon,N,5.68,4.83,4.79,4,1.35,1,1.56
glaswellt,llafn,N,4.57,4.93,4.93,4,1.34,1,1.53
pêl,basged,N,1.67,5,5,4,1.33,1,1.08
pibell,gardd,N,1.67,4.87,4.73,4,1.32,1,1.1
bachgen,plentyn,N,7.5,4.76,4.56,3,1.28,1,1.44
eglwys,côr,N,2.95,4.9,4.34,3,1.27,1,1.43
dillad,drôr,N,3.02,4.76,4.67,3,1.27,1,1.49
tŵr,cloch,N,1.9,4.76,4.96,4,1.22,1,1.41
tad,rhiant,N,7.07,4.52,4.56,3,1.19,1,1.06
ysgol,gradd,N,4.42,4.79,3,3,1.18,1,1.32
rhiant,oedolyn,N,5.37,4.56,4.4,3,1.15,1,1.6
bar,carchar,N,1.9,4.67,4.83,4,1.15,1,1.12
car,traffordd,N,3.4,4.89,4.72,4,1.15,1,1.77
geiriadur,diffiniad,N,6.25,4.62,3.07,3,1.14,1,1.06
drws,seler,N,1.97,4.81,4.68,4,1.13,1,1.47
byddin,lleng,N,5.95,4.7,2.69,2,1.11,1,1.29
metel,alwminiwm,N,7.25,4.87,4.88,4,1.1,1,1.76
cadair,mainc,N,6.67,4.58,4.87,3,1.09,1,1.22
cwmwl,niwl,N,6,4.54,4.66,3,1.05,1,1.04
bachgen,mab,N,6.75,4.76,4.14,3,1.03,1,0.88
dŵr,iâ,N,6.47,5,4.89,4,1.03,1,1.66
gwely,blanced,N,3.02,5,5,4,1.02,1,1.48
atwrnai,cyfreithiwr,N,9.35,4.52,4.7,3,1.01,1,1.4
ardal,parth,N,8.33,3.72,3.07,2,0.97,1,0.89
busnes,cwmni,N,9.02,3.28,4.11,3,0.97,1,0.47
dillad,ffabrig,N,5.87,4.76,4.63,3,0.96,1,1.66
siwmper,siaced,N,7.15,4.78,4.86,4,0.96,1,1.13
arian,cyfalaf,N,6.67,4.54,4.1,3,0.95,1,0.97
llaw,troed,N,4.17,4.72,4.9,4,0.95,1,1.41
alcohol,coctel,N,6.73,4.76,4.4,3,0.93,1,1.2
llath,modfedd,N,3.78,4.82,4.37,3,0.93,1,1.4
moleciwl,atom,N,6.45,3.27,3.34,2,0.92,1,1.56
lens,camera,N,4.28,4.64,5,4,0.9,1,1.89
pryd bwyd,cinio,N,7.15,4.62,4.5,3,0.88,1,2
llygad,deigryn,N,3.55,4.9,4.56,3,0.88,1,1.48
dyw,diafol,N,1.8,2.07,3.41,2,0.87,1,1.1
dolen,gwregys,N,3.1,4.26,4.9,3,0.87,1,1.74
llygoden mawr,llygoden,N,7.78,4.85,4.83,4,0.87,1,0.93
modur,injan,N,8.65,4.84,4.86,4,0.87,1,1.47
car,cab,N,7.42,4.89,4.88,4,0.87,1,1.15
cath,llew,N,6.75,4.86,4.96,4,0.85,1,0.84
maint,maint,N,6.33,3.13,2.43,2,0.84,1,0.59
realiti,ffantasi,N,1.03,1.72,1.59,1,0.83,1,0.89
drws,giât,N,5.25,4.81,4.96,4,0.83,1,1.47
cath,anifail anwes,N,5.95,4.86,4.71,4,0.82,1,1.41
tun,alwminiwm,N,6.42,4.87,4.88,4,0.82,1,1.3
asgwrn,gêm,N,4.17,4.9,4.87,4,0.82,1,0.44
grawnfwyd,gwenith,N,3.75,4.83,4.89,4,0.81,1,1.72
tŷ,allwedd,N,1.9,5,4.89,4,0.8,1,1.09
gwaed,cnawd,N,4.28,4.86,4.59,3,0.79,1,1.74
drws,coridor,N,3.73,4.81,4.72,4,0.79,1,1.11
dyw,ysbryd,N,7.3,2.07,1.6,1,0.77,1,1.63
gallu,cymhwysedd,N,7.62,1.93,1.78,1,0.77,1,0.84
digonedd,digon,N,8.97,2.21,2.39,1,0.77,1,1.02
soffa,cadair,N,6.67,4.9,4.58,4,0.77,1,1.56
wal,brics,N,4.68,4.86,4.83,4,0.77,1,1.16
corn,drwm,N,2.68,5,4.96,4,0.77,1,0.47
organ,iau,N,6.15,4.77,4.68,3,0.76,1,1.12
cryfder,rymuster,N,7.07,2.96,2.32,2,0.74,1,0.8
ymadrodd,gair,N,5.48,2.86,3.56,2,0.74,1,1.73
band,gorymdaith,N,3.92,4.68,4.54,3,0.74,1,1.74
stymog,canol,N,5.9,4.89,4.72,4,0.74,1,1.49
cwmwl,storm,N,5.6,4.54,4.7,3,0.73,1,1.47
llawenydd,balchder,N,5,2.37,1.66,1,0.72,1,0.9
sŵn,ratl,N,6.17,3.52,4.07,3,0.72,1,1.33
glaw,niwl,N,5.97,4.97,4.51,4,0.71,1,1.83
cwrw,diod,N,5.42,4.88,4.6,4,0.71,1,1.34
dyn,ewythr,N,3.92,4.79,4.24,3,0.7,1,1.36
afal,sudd,N,2.88,5,4.89,4,0.7,1,1.65
deallusrwydd,rhesymeg,N,6.5,2.24,1.72,1,0.68,1,1.2
cyfathrebu,iaith,N,7.47,2.9,2.35,2,0.68,1,1.09
minc,ffwr,N,6.83,4.58,4.69,3,0.68,1,0.39
mob,torf,N,7.85,3.88,4.52,3,0.67,1,1.2
glan,arfordir,N,8.83,4.79,4.21,3,0.67,1,1.53
gwifren,llinyn,N,7.62,4.72,4.63,3,0.67,1,1.35
aderyn,twrci,N,6.58,5,4.89,4,0.67,1,1.6
gwley,preseb,N,7.3,5,4.86,4,0.65,1,1.56
cymhwysedd,gallu,N,7.5,1.78,1.81,1,0.63,1,0.6
cwmwl,tes,N,7.32,4.54,4.04,3,0.63,1,1.68
swper,pryd bwyd,N,7.53,4.63,4.62,3,0.63,1,0.47
bar,caets,N,2.8,4.67,5,4,0.63,1,0.51
dŵr,halen,N,1.3,5,4.89,4,0.63,1,0.94
synnwyr,greddf,N,7.68,2.61,1.67,1,0.62,1,1.24
sefyllfa,amod,N,6.58,2.03,2.15,1,0.61,1,1.41
trosedd,lladrad,N,7.53,3.03,2.93,2,0.61,1,1.32
steil,ffasiwn,N,8.5,2.67,3.43,2,0.61,1,0.87
terfyn,ffin,N,9.08,3.04,4.29,2,0.61,1,0.44
braich,corff,N,4.05,4.96,4.79,4,0.61,1,0.51
cwch,car,N,2.37,4.93,4.89,4,0.61,1,1.17
brechdan,cinio,N,6.3,4.9,4.31,3,0.58,1,1.53
priodfrech,tywysoges,N,2.8,4.63,4.72,3,0.58,1,0.92
arwes,arwr,N,8.78,4.21,3.07,2,0.56,1,1.79
car,medrydd,N,1.13,4.89,4,3,0.56,1,1.47
pryf,gwenyn,N,6.07,4.89,4.88,4,0.55,1,1.34
preseb,crub,N,8.55,4.86,4.93,4,0.55,1,1.15
anifail,person,N,3.05,4.61,4.72,3,0.54,1,1.38
mariwana,perlysiau,N,6.5,4.89,4.57,3,0.54,1,0.59
gwely,ysbyty,N,0.92,5,4.64,4,0.54,1,1.35
boch,tafod,N,4.52,4.83,4.93,4,0.54,1,0.47
disg,cyfrifiadur,N,3.2,4.85,4.93,4,0.54,1,0.44
cromlin,ongl,N,3.33,4.41,3.5,3,0.53,1,1.51
glaswellt,mwsogl,N,5,4.93,4.9,4,0.53,1,1.27
ysgol,cyfraith,N,1.13,4.79,2.57,2,0.52,1,1.49
troed,pen,N,2.3,4.9,4.75,4,0.52,1,0.62
mam,gwarcheidwad,N,6.5,4.6,3.28,3,0.51,1,1.13
orthodontydd,deintydd,N,8.27,4.43,4.93,3,0.51,1,1.47
alcohol,wisgi,N,7.27,4.76,4.74,4,0.51,1,1.19
ceg,dant,N,6.3,4.74,4.89,4,0.51,1,1.39
brecwast,bacwn,N,4.37,4.43,4.9,3,0.5,1,1.46
ystafell ymolchi,ystafell gwely,N,3.4,4.52,4.9,3,0.5,1,1.73
plât,bowlen,N,5.23,4.77,4.87,4,0.5,1,1.46
cig,bacwn,N,5.8,4.9,4.9,4,0.5,1,1.5
aer,heliwm,N,3.63,4.11,3.96,3,0.49,1,1.59
gweithwr,cyflogwr,N,5.37,4.59,3.81,3,0.49,1,1.4
corff,brest,N,4.45,4.79,4.93,4,0.49,1,1.45
mab,tad,N,3.82,4.14,4.52,3,0.48,1,1.75
calon,llawdriniaeth,N,1.08,4.52,4.34,3,0.48,1,1.07
menyw,ysgrifennydd,N,1.98,4.46,4.54,3,0.48,1,1.6
dyn,tad,N,4.83,4.79,4.52,3,0.48,1,1.62
traeth,ynys,N,5.6,4.79,4.96,4,0.48,1,0.39
stori,pwnc,N,5,3.3,2.59,2,0.47,1,1.7
gêm,hwyl,N,3.42,4.5,1.97,2,0.47,1,2.07
penwythnos,wythnos,N,4,3.83,3.48,2,0.47,1,1.57
cwpl,pâr,N,8.33,3.93,3.88,3,0.47,1,1.5
menyw,gwraig,N,5.72,4.46,4.13,3,0.47,1,1.35
dafad,gwartheg,N,4.77,4.9,4.64,4,0.47,1,0.47
pwrs,bag,N,8.33,4.9,4.9,4,0.47,1,1.39
nenfwd,eglwys gadeiriol,N,2.42,4.85,4.86,4,0.46,1,1.57
ffa,coffi,N,5.15,5,4.81,4,0.46,1,1.52
pren,papur,N,2.88,4.85,4.93,4,0.44,0,1.55
pen,ochr,N,1.9,3.93,3.68,3,0.43,0,1.29
trosedd,twyll,N,5.65,3.03,1.68,1,0.42,0,1.18
poen,niwed,N,5.38,3.5,2.62,2,0.42,0,0.95
cariad,cydymaith,N,5.97,3.68,3.75,3,0.42,0,0.8
noswaith,gwyll,N,7.78,3.26,4.24,3,0.42,0,1.32
tad,merch,N,2.62,4.52,4.79,3,0.42,0,1.69
gwin,gwirod,N,7.85,4.79,4.73,4,0.42,0,0.78
buwch,gafr,N,2.93,4.96,5,4,0.42,0,0.59
cred,barn,N,7.7,1.19,1.93,1,0.41,0,1.24
realiti,rhith,N,1.42,1.72,2.48,1,0.41,0,1.36
cytundeb,cytuniad,N,9.02,2.52,2.22,1,0.41,0,1.2
cyfoeth,tlodi,N,1.27,2.63,2.54,1,0.41,0,1.47
damwain,argyfwng,N,4.93,3.26,2.41,2,0.41,0,0.49
brwydr,gorchfygiad,N,7.22,4,2.54,2,0.41,0,0.89
ffrind,athro,N,2.62,3.07,4.52,3,0.41,0,1.29
salwch,haint,N,6.9,3.54,4.1,3,0.41,0,1.28
gêm,tric,N,2.32,4.5,3.36,3,0.41,0,1.02
brawd,mab,N,3.48,4.43,4.14,3,0.41,0,1.61
modryb,nai,N,3.1,4.17,4.48,3,0.41,0,1.31
gweithwr,mecanydd,N,4.92,4.59,4.38,3,0.41,0,1.2
doctor,orthodontydd,N,5.58,4.69,4.43,3,0.41,0,1.25
derwen,masarn,N,6.03,4.82,4.46,3,0.41,0,0.39
gwenyn,brenhines,N,3.27,4.88,4.45,3,0.41,0,1.2
car,beic,N,3.47,4.89,4.89,4,0.41,0,1.68
gôl,chwilfa,N,5.83,3.06,2.87,2,0.4,0,1.31
awst,ceg,N,5.53,3.04,4.2,2,0.4,0,1.54
byddin,carfan,N,5.08,4.7,3.65,3,0.4,0,1.61
cwmwl,tywydd,N,4.87,4.54,3.83,3,0.4,0,0.94
meddyg,doctor,N,8.88,4.65,4.69,3,0.4,0,1.5
ceunant,cwm,N,6.75,4.81,4.72,4,0.4,0,1.39
afon,cwm,N,1.67,4.89,4.72,4,0.4,0,1.23
haul,awyr,N,2.27,4.83,4.45,3,0.39,0,1.67
targed,saeth,N,3.25,4.11,4.97,3,0.38,0,1.74
siocoled,pastai,N,2.27,4.72,4.92,4,0.38,0,1.79
amghylchiad,sefyllfa,N,7.85,1.77,2.03,1,0.36,0,1.31
barn,dewis,N,5.43,1.93,1.9,1,0.36,0,1.5
rhythm,alaw,N,6.12,3.07,3.71,2,0.36,0,1.27
perfedd,nerf,N,4.93,4.15,3.89,3,0.36,0,1.65
dydd,gwawr,N,5.47,3.92,4.46,3,0.36,0,1.45
gwartheg,cig eidion,N,7.03,4.64,4.74,3,0.36,0,1.53
doctor,athro,N,4.65,4.69,4.86,4,0.36,0,1.19
braich,gwythien,N,3.65,4.96,4.63,4,0.36,0,1.62
ystafell,bath,N,3.33,4.79,4.85,4,0.36,0,0.49
corfforaeth,busnes,N,9.02,2.79,3.28,2,0.35,0,1.44
hwyl,pêl droed,N,1.97,1.97,4.73,2,0.35,0,1.43
bryn,clogwyn,N,4.28,4.93,4.71,4,0.35,0,1.26
asgwrn,pigwrn,N,3.82,4.9,4.81,4,0.35,0,0.69
afal,losiyn,N,2.08,5,4.83,4,0.35,0,0.75
cynorthwyydd,morwyn,N,5.58,3.39,4.64,3,0.34,0,0.44
arweinydd,rheolwr,N,7.27,3.89,4.14,3,0.34,0,1.43
lemwn,tê,N,1.6,5,4.69,4,0.34,0,1.33
gwenyn,morgrug,N,2.78,4.88,4.86,4,0.34,0,1.04
pêl fasged,pêl fas,N,4.92,4.97,4.86,4,0.34,0,0.93
reis,ffa,N,2.72,4.86,5,4,0.34,0,1.27
gwely,dodrefn,N,6.08,5,4.89,4,0.34,0,0.84
emosiwn,angerdd,N,7.72,2.44,2.3,1,0.33,0,1.3
anarchiaeth,anhrefn,N,7.93,2.12,2.79,1,0.33,0,1.35
trosedd,toriad,N,7.12,3.03,2.67,2,0.33,0,0.87
peiriant,injan,N,5.58,4.25,4.86,3,0.33,0,1.95
