: gram2-opposite
ymwybodol anymwybodol onest anonest
cas casaf pell pellaf
cas casaf rhad rhataf
dewr dewraf du duaf
dewr dewraf glân glanaf
dewr dewraf pur puraf
dewr dewraf hapus hapusaf
dewr dewraf hŷn hynaf
dewr dewraf melyn melynaf
dewr dewraf coch cochaf
dewr dewraf pell pellaf
dewr dewraf rhad rhataf
du duaf glân glanaf
du duaf pur puraf
du duaf hapus hapusaf
du duaf hŷn hynaf
du duaf melyn melynaf
du duaf coch cochaf
du duaf pell pellaf
du duaf rhad rhataf
glân glanaf pur puraf
glân glanaf hapus hapusaf
glân glanaf hŷn hynaf
glân glanaf melyn melynaf
glân glanaf coch cochaf
glân glanaf pell pellaf
glân glanaf rhad rhataf
pur puraf hapus hapusaf
pur puraf hŷn hynaf
pur puraf melyn melynaf
pur puraf coch cochaf
pur puraf pell pellaf
pur puraf rhad rhataf
hapus hapusaf hŷn hynaf
hapus hapusaf melyn melynaf
hapus hapusaf coch cochaf
hapus hapusaf pell pellaf
hapus hapusaf rhad rhataf
hŷn hynaf melyn melynaf
hŷn hynaf coch cochaf
hŷn hynaf pell pellaf
hŷn hynaf rhad rhataf
melyn melynaf coch cochaf
melyn melynaf pell pellaf
melyn melynaf rhad rhataf
coch cochaf pell pellaf
coch cochaf rhad rhataf
pell pellaf rhad rhataf
: gram?-equative
cas cased dewr dewred
cas cased du dued
cas cased glân glaned
cas cased pur pured
cas cased hapus hapused
cas cased hŷn hyned
cas cased melyn melyned
cas cased coch coched
cas cased pell pelled
cas cased rhad rhated
dewr dewred du dued
dewr dewred glân glaned
dewr dewred pur pured
dewr dewred hapus hapused
dewr dewred hŷn hyned
dewr dewred melyn melyned
dewr dewred coch coched
dewr dewred pell pelled
dewr dewred rhad rhated
du dued glân glaned
du dued pur pured
du dued hapus hapused
du dued hŷn hyned
du dued melyn melyned
du dued coch coched
du dued pell pelled
du dued rhad rhated
glân glaned pur pured
glân glaned hapus hapused
glân glaned hŷn hyned
glân glaned melyn melyned
glân glaned coch coched
glân glaned pell pelled
glân glaned rhad rhated
pur pured hapus hapused
pur pured hŷn hyned
pur pured melyn melyned
pur pured coch coched
pur pured pell pelled
pur pured rhad rhated
hapus hapused hŷn hyned
hapus hapused melyn melyned
hapus hapused coch coched
hapus hapused pell pelled
hapus hapused rhad rhated
hŷn hyned melyn melyned
hŷn hyned coch coched
hŷn hyned pell pelled
hŷn hyned rhad rhated
melyn melyned coch coched
melyn melyned pell pelled
melyn melyned rhad rhated
coch coched pell pelled
coch coched rhad rhated
pell pelled rhad rhated
: gram6-nationality-adjective
tsieina tsieineaidd israel israelaidd
tsieina tsieineaidd swistir swistirol
tsieina tsieineaidd botswana botswanaidd
tsieina tsieineaidd byrma byrmanaidd
tsieina tsieineaidd cymru cymreig
tsieina tsieineaidd lloegr seisnig
tsieina tsieineaidd alban albanaidd
tsieina tsieineaidd iwerddon gwyddelig
tsieina tsieineaidd japan japaneaidd
tsieina tsieineaidd palestina palestinaidd
tsieina tsieineaidd serbia serbaidd
tsieina tsieineaidd ffrainc ffrengig
tsieina tsieineaidd almaen almaenaidd
tsieina tsieineaidd portiwgal portiwgeaidd
tsieina tsieineaidd ffindir ffinnaidd
tsieina tsieineaidd catalwnia catalwnaidd
tsieina tsieineaidd india indiaidd
tsieina tsieineaidd corea coreaidd
tsieina tsieineaidd sweden swedaidd
tsieina tsieineaidd sbaen sbaenaidd
israel israelaidd swistir swistirol
israel israelaidd botswana botswanaidd
israel israelaidd byrma byrmanaidd
israel israelaidd cymru cymreig
israel israelaidd lloegr seisnig
israel israelaidd alban albanaidd
israel israelaidd iwerddon gwyddelig
israel israelaidd japan japaneaidd
israel israelaidd palestina palestinaidd
israel israelaidd serbia serbaidd
israel israelaidd ffrainc ffrengig
israel israelaidd almaen almaenaidd
israel israelaidd portiwgal portiwgeaidd
israel israelaidd ffindir ffinnaidd
israel israelaidd catalwnia catalwnaidd
israel israelaidd india indiaidd
israel israelaidd corea coreaidd
israel israelaidd sweden swedaidd
israel israelaidd sbaen sbaenaidd
swistir swistirol botswana botswanaidd
swistir swistirol byrma byrmanaidd
swistir swistirol cymru cymreig
swistir swistirol lloegr seisnig
swistir swistirol alban albanaidd
swistir swistirol iwerddon gwyddelig
swistir swistirol japan japaneaidd
swistir swistirol palestina palestinaidd
swistir swistirol serbia serbaidd
swistir swistirol ffrainc ffrengig
swistir swistirol almaen almaenaidd
swistir swistirol portiwgal portiwgeaidd
swistir swistirol ffindir ffinnaidd
swistir swistirol catalwnia catalwnaidd
swistir swistirol india indiaidd
swistir swistirol corea coreaidd
swistir swistirol sweden swedaidd
swistir swistirol sbaen sbaenaidd
botswana botswanaidd byrma byrmanaidd
botswana botswanaidd cymru cymreig
botswana botswanaidd lloegr seisnig
botswana botswanaidd alban albanaidd
botswana botswanaidd iwerddon gwyddelig
botswana botswanaidd japan japaneaidd
botswana botswanaidd palestina palestinaidd
botswana botswanaidd serbia serbaidd
botswana botswanaidd ffrainc ffrengig
botswana botswanaidd almaen almaenaidd
botswana botswanaidd portiwgal portiwgeaidd
botswana botswanaidd ffindir ffinnaidd
botswana botswanaidd catalwnia catalwnaidd
botswana botswanaidd india indiaidd
botswana botswanaidd corea coreaidd
botswana botswanaidd sweden swedaidd
botswana botswanaidd sbaen sbaenaidd
byrma byrmanaidd cymru cymreig
byrma byrmanaidd lloegr seisnig
byrma byrmanaidd alban albanaidd
byrma byrmanaidd iwerddon gwyddelig
byrma byrmanaidd japan japaneaidd
byrma byrmanaidd palestina palestinaidd
byrma byrmanaidd serbia serbaidd
byrma byrmanaidd ffrainc ffrengig
byrma byrmanaidd almaen almaenaidd
byrma byrmanaidd portiwgal portiwgeaidd
byrma byrmanaidd ffindir ffinnaidd
byrma byrmanaidd catalwnia catalwnaidd
byrma byrmanaidd india indiaidd
byrma byrmanaidd corea coreaidd
byrma byrmanaidd sweden swedaidd
byrma byrmanaidd sbaen sbaenaidd
cymru cymreig lloegr seisnig
cymru cymreig alban albanaidd
cymru cymreig iwerddon gwyddelig
cymru cymreig japan japaneaidd
cymru cymreig palestina palestinaidd
cymru cymreig serbia serbaidd
cymru cymreig ffrainc ffrengig
cymru cymreig almaen almaenaidd
cymru cymreig portiwgal portiwgeaidd
cymru cymreig ffindir ffinnaidd
cymru cymreig catalwnia catalwnaidd
cymru cymreig india indiaidd
cymru cymreig corea coreaidd
cymru cymreig sweden swedaidd
cymru cymreig sbaen sbaenaidd
lloegr seisnig alban albanaidd
lloegr seisnig iwerddon gwyddelig
lloegr seisnig japan japaneaidd
lloegr seisnig palestina palestinaidd
lloegr seisnig serbia serbaidd
lloegr seisnig ffrainc ffrengig
lloegr seisnig almaen almaenaidd
lloegr seisnig portiwgal portiwgeaidd
lloegr seisnig ffindir ffinnaidd
lloegr seisnig catalwnia catalwnaidd
lloegr seisnig india indiaidd
lloegr seisnig corea coreaidd
lloegr seisnig sweden swedaidd
lloegr seisnig sbaen sbaenaidd
alban albanaidd iwerddon gwyddelig
alban albanaidd japan japaneaidd
alban albanaidd palestina palestinaidd
alban albanaidd serbia serbaidd
alban albanaidd ffrainc ffrengig
alban albanaidd almaen almaenaidd
alban albanaidd portiwgal portiwgeaidd
alban albanaidd ffindir ffinnaidd
alban albanaidd catalwnia catalwnaidd
alban albanaidd india indiaidd
alban albanaidd corea coreaidd
alban albanaidd sweden swedaidd
alban albanaidd sbaen sbaenaidd
iwerddon gwyddelig japan japaneaidd
iwerddon gwyddelig palestina palestinaidd
iwerddon gwyddelig serbia serbaidd
iwerddon gwyddelig ffrainc ffrengig
iwerddon gwyddelig almaen almaenaidd
iwerddon gwyddelig portiwgal portiwgeaidd
iwerddon gwyddelig ffindir ffinnaidd
iwerddon gwyddelig catalwnia catalwnaidd
iwerddon gwyddelig india indiaidd
iwerddon gwyddelig corea coreaidd
iwerddon gwyddelig sweden swedaidd
iwerddon gwyddelig sbaen sbaenaidd
japan japaneaidd palestina palestinaidd
japan japaneaidd serbia serbaidd
japan japaneaidd ffrainc ffrengig
japan japaneaidd almaen almaenaidd
japan japaneaidd portiwgal portiwgeaidd
japan japaneaidd ffindir ffinnaidd
japan japaneaidd catalwnia catalwnaidd
japan japaneaidd india indiaidd
japan japaneaidd corea coreaidd
japan japaneaidd sweden swedaidd
japan japaneaidd sbaen sbaenaidd
palestina palestinaidd serbia serbaidd
palestina palestinaidd ffrainc ffrengig
palestina palestinaidd almaen almaenaidd
palestina palestinaidd portiwgal portiwgeaidd
palestina palestinaidd ffindir ffinnaidd
palestina palestinaidd catalwnia catalwnaidd
palestina palestinaidd india indiaidd
